X,Y,profile_id,layer_id,profile_code,layer_name,upper_depth,lower_depth,organic_surface,value,method_options,value_avg,dataset_id,country_name,positional_uncertainty,region,continent,date,licence
1.29444,11.4917,576350,86408,BF VALSOL_ES-51,A1,0,15,0,{1.56},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ]""}",1.56,AF-AfSP,Burkina Faso,100 m - 1 km,Western Africa,Africa,1969-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.29444,11.4917,576350,86409,BF VALSOL_ES-51,A2,15,30,0,{1.55},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ]""}",1.55,AF-AfSP,Burkina Faso,100 m - 1 km,Western Africa,Africa,1969-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.29444,11.4917,576350,86410,BF VALSOL_ES-51,,30,76,0,{1.00},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ]""}",1,AF-AfSP,Burkina Faso,100 m - 1 km,Western Africa,Africa,1969-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.29444,11.4917,576350,86411,BF VALSOL_ES-51,,76,138,0,{1.87},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ]""}",1.87,AF-AfSP,Burkina Faso,100 m - 1 km,Western Africa,Africa,1969-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.32222,12.4111,576352,86416,BF VALSOL_ES-21,,0,15,0,{2.05},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ]""}",2.05,AF-AfSP,Burkina Faso,100 m - 1 km,Western Africa,Africa,1969-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.32222,12.4111,576352,86417,BF VALSOL_ES-21,,15,30,0,{2.12},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ]""}",2.12,AF-AfSP,Burkina Faso,100 m - 1 km,Western Africa,Africa,1969-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.32222,12.4111,576352,86418,BF VALSOL_ES-21,,30,120,0,{2.17},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ]""}",2.17,AF-AfSP,Burkina Faso,100 m - 1 km,Western Africa,Africa,1969-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.32222,12.4111,576352,86419,BF VALSOL_ES-21,,120,170,0,{1.95},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ]""}",1.95,AF-AfSP,Burkina Faso,100 m - 1 km,Western Africa,Africa,1969-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
0.413889,10.3194,588514,139315,TG isis_1,,0,20,0,{1.53},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ]""}",1.53,AF-AfSP,Togo,Circa 100 m,Western Africa,Africa,1997-9-1,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
0.413889,10.3194,588514,139316,TG isis_1,,20,37,0,{1.66},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ]""}",1.66,AF-AfSP,Togo,Circa 100 m,Western Africa,Africa,1997-9-1,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
0.413889,10.3194,588514,139317,TG isis_1,,37,75,0,{1.55},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ]""}",1.55,AF-AfSP,Togo,Circa 100 m,Western Africa,Africa,1997-9-1,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
0.413889,10.3194,588514,139319,TG isis_1,,95,119,0,{1.51},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ]""}",1.51,AF-AfSP,Togo,Circa 100 m,Western Africa,Africa,1997-9-1,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
0.311389,11.970833,1115155,1,BF001,Ap,0,21,0,{1.65},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.65,WD-ISIS,Burkina Faso,Circa 100 m,Western Africa,Africa,1997-9-1,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/"
0.413889,10.3194,1115319,1121,TG001,,20,37,0,{1.66},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.66,WD-ISIS,Togo,Circa 100 m,Western Africa,Africa,1997-9-1,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/"
0.413889,10.3194,1115319,1124,TG001,,95,119,0,{1.51},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.51,WD-ISIS,Togo,Circa 100 m,Western Africa,Africa,1997-9-1,"Attribution 4.0 International (CC BY 4.0), https://creativecommons.org/licenses/by/4.0/"
1.352222,13.66,586023,127885,NE W3_0065,,0,12,0,{1.40},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.4,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.352222,13.66,586023,127886,NE W3_0065,Bw,12,35,0,{1.40},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.4,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.352222,13.66,586023,127887,NE W3_0065,Bt,35,90,0,{1.40},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.4,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.353333,13.690833,586025,127893,NE W3_0141,,0,52,0,{1.40},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.4,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.353333,13.690833,586025,127894,NE W3_0141,Bw,52,95,0,{1.50},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ] sample type = [ undisturbed soil in metal/PVC-ring (soil core) (soil sufficiently coherent) ]""}",1.5,AF-AfSP,Niger,Circa 100 m,Western Africa,Africa,????-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
