feature,0,1,2,3,4,5,6,7,8,9,10,11,12,pc1_ci_lower,pc1_ci_upper,pc2_ci_lower,pc2_ci_upper,pc3_ci_lower,pc3_ci_upper,pc4_ci_lower,pc4_ci_upper,pc5_ci_lower,pc5_ci_upper,pc6_ci_lower,pc6_ci_upper,pc7_ci_lower,pc7_ci_upper,pc8_ci_lower,pc8_ci_upper,pc9_ci_lower,pc9_ci_upper,pc10_ci_lower,pc10_ci_upper,pc11_ci_lower,pc11_ci_upper,pc12_ci_lower,pc12_ci_upper,pc13_ci_lower,pc13_ci_upper
clim_annual_std,-0.6527333078332421,-0.45521499856859954,-0.34050455469285534,0.007072590612975161,0.38305334878386615,-0.02704316816683214,-0.11309348136817894,-0.0019113616525344654,-0.04242877950205445,0.08051522874050315,-0.019259029382418445,0.03012516892643933,-0.0387403944606456,-0.7108924663117545,0.7071473084827878,-0.5506166751130588,0.5394393943191113,-0.4298126283160954,0.40924279554973475,-0.09944369167705074,0.09882750057465989,-0.42367136086135593,0.4184912468934522,-0.12719025239125253,0.10882313655313591,-0.1565529271967124,0.1584775582418527,-0.04749236488231317,0.05322892677882983,-0.0871096250156412,0.08335953432866473,-0.10714541524072983,0.10362751761211836,-0.08144722708186497,0.08331518332740907,-0.06602606322789191,0.063227114183866,-0.09247754995515686,0.10466956127005855
clim_MAM_mean,-0.7484437036192833,-0.0686606930583848,-0.19727239751702633,0.316133082873272,0.3793816662932529,0.09977861870658197,0.16835855941107042,-0.15869192681124125,0.03985238825816163,-0.04616118405690289,-0.0455365421981335,0.10758911460925855,0.030253207611230504,-0.7721369797792322,0.7716247523500939,-0.14631338078205383,0.12597647259977657,-0.27361734708036584,0.2629297605642141,-0.3954291180783509,0.3975782661376058,-0.43347277484880725,0.42854479843642196,-0.18393260066938547,0.18252017439115056,-0.2352872433384904,0.22380801116694574,-0.20202108165835664,0.2004965176886054,-0.1073920831726493,0.11353030367607662,-0.09543916317558657,0.08653162717829314,-0.11495482027675598,0.10672747653086172,-0.13787349715613814,0.1377092569396647,-0.07227486412986853,0.06910955259974144
clim_MAM_std,-0.6396624137926236,-0.44102424718612043,-0.3359779833855758,0.10530081911440721,0.3292034118856382,0.12889962545675385,0.03236950234697142,-0.10965361319374854,0.0002632415354441881,0.012354068294437706,0.004374727336899427,0.11880680273936159,-0.011513638288126514,-0.6931066239418124,0.6920089423283555,-0.5337028419423344,0.522084157429188,-0.4360807885274777,0.4163718248803546,-0.18751416258151,0.1906523183948055,-0.3701823974931323,0.3706935353717192,-0.19781265841159867,0.19945385240424798,-0.09511270580592436,0.0880901101376803,-0.13970629390568542,0.14054934177064937,-0.06252101336047215,0.06105342977933946,-0.07041329314239125,0.06742818138419678,-0.09566288042767326,0.09059622648980054,-0.13935318299501004,0.14137029523789982,-0.08308753905116792,0.08201650336088537
clim_SON_mean,-0.43317223258829696,0.13485906075992984,0.26033202632516483,0.2668813037948656,0.43631798353397105,-0.4341667302380519,-0.1029214618844319,0.16108661499146534,0.07201193544095945,0.01278216733720669,-0.08108815894257224,-0.17897116821778178,-0.07373065174005754,-0.4777013236991503,0.4903254373784407,-0.220457644660373,0.22119652620321767,-0.352761050349498,0.33522817717017067,-0.375256063679512,0.3837394884640206,-0.5530482580348448,0.5502348693083722,-0.5440398537114044,0.5223306319088475,-0.21167562997153808,0.20745708190565085,-0.21100042942600422,0.2182105690141837,-0.13453415690192566,0.1435121865072404,-0.11877877327301394,0.13053810060703958,-0.16589897359447012,0.17689475623533593,-0.22527123460595935,0.2297226807287959,-0.1548743680252176,0.15398639413127274
clim_SON_std,-0.6032012533300043,-0.39625098209970966,-0.24868757382017778,-0.007460638844046003,0.36571083900588597,-0.16847205254350817,-0.17038175204450742,0.047540508561107406,-0.09072184245531782,0.08485300334152203,-0.05216606542101498,0.004333310145544779,-0.03444772613957074,-0.6599856872926653,0.660512010001986,-0.4775481592822032,0.4616969903146041,-0.334231501109908,0.31458576173790637,-0.10679577803974093,0.10479040219699794,-0.432861357562536,0.42394431982308495,-0.2581403831694975,0.2504966766463312,-0.2308407887184873,0.22881146523584542,-0.10068397876558949,0.09832623377702614,-0.13540607906439844,0.14101242417562965,-0.12574303082610663,0.13228624430473213,-0.11730406324293509,0.11021024062035828,-0.07335606598028868,0.062425679004580514,-0.08658602295383112,0.09097175682464848
clim_DJF_mean,-0.3069824804012056,0.7292684591271188,-0.30081665299908483,0.04739133035914917,0.334505430941137,0.041688054371814165,0.2020558750208597,-0.061882171794982635,0.10906640150908474,0.06305882968120372,-0.002568766436851217,0.06293134927286398,0.004404247572549536,-0.37919048912352016,0.3903273582550143,-0.7993204967113522,0.7915553400990052,-0.43464527697945105,0.44842336060865456,-0.14551759161575573,0.1435195575666213,-0.3760638906102597,0.3751000831143068,-0.12542883903863514,0.12427523248901146,-0.248516807757331,0.24162774362604172,-0.11068663383382703,0.10830264117262219,-0.15163966486509864,0.14695321050000182,-0.10498990574479579,0.0983311777499259,-0.0834354440211071,0.07969486036030224,-0.09653279026225485,0.09385037672936809,-0.07551313862486758,0.09061588032911698
clim_DJF_std,-0.6229312183272472,0.40038061090391347,-0.3226756103478051,0.08173302256333313,0.4093526737138768,0.016268284397021354,0.1271948062871883,-0.06337991514973992,0.04469361970805059,0.03202131366374913,-0.024195390124934497,0.0880975901368072,0.027846803986314724,-0.6638017887549864,0.6723773855723514,-0.48050056825348336,0.4891378435123289,-0.4027563556382545,0.41173414474617936,-0.17735535513531445,0.16929941712406898,-0.4499967041115836,0.44428381572166387,-0.11469863347298477,0.1081139550960051,-0.18355228025945416,0.17735804479730186,-0.10325325601751889,0.11368342782642267,-0.09200150824787622,0.10237877749216284,-0.07794672801745803,0.07661533581550785,-0.0836469961601538,0.08126115087222158,-0.11713219892897124,0.12019279979560082,-0.10592669589218325,0.1112048118225685
clim_JJA_mean,-0.24511569447280968,-0.8401666604907289,0.16017864779649704,0.09612787161324789,0.06571825407553307,-0.14736333466309695,-0.2551718363105234,0.08519542636638706,-0.0861588020209702,-0.014737635262356634,-0.036723877087283176,-0.12311838694431859,-0.07250181376539142,-0.3172632136523974,0.31717837765421847,-0.8712589107528396,0.8683327379468269,-0.3338451351994029,0.3110794390177833,-0.16945582755359456,0.1720664896431755,-0.1328936658974999,0.13085668699290304,-0.21482911301787153,0.21588751724428573,-0.295688748246497,0.2921524802508497,-0.13251805222047486,0.12930206790105514,-0.13030890321895766,0.1387012769656309,-0.0811301343512064,0.0876579359071928,-0.1011637954102481,0.1196684967510904,-0.14877116266803786,0.14750441114260948,-0.11343099457336858,0.11442036978042104
clim_JJA_std,-0.17589146162177613,-0.7491560317252604,-0.09674045062459236,-0.1106362512806315,0.11642772199280725,-0.09963479179685879,-0.2980215652952099,0.12750220488430974,-0.08789347280548908,0.10164720284906234,0.011216688776048665,-0.10301895573747161,-0.068370383047681,-0.2686695590707097,0.25363397084671624,-0.7759284966471721,0.7766758568158594,-0.2405196945143864,0.2210749409663587,-0.16840247099890784,0.16697429291815796,-0.1856738014979775,0.17710657900469787,-0.18425332776595998,0.18074409745517184,-0.34849539777402916,0.3387083704018708,-0.19291085726649926,0.19404926242797843,-0.16112601315079642,0.16801649345319064,-0.15099740596690248,0.14640631218802697,-0.121519327410545,0.13413130533866927,-0.15990748024072807,0.14242669769907712,-0.12181108085955311,0.13219193346546937
rainfall_anomaly,-0.7915667260238686,0.11322583805772318,0.11953667144153093,-0.2771715368975301,-0.4412559231097991,0.23048989724562047,0.0475253435118829,0.01105660213839557,-0.02608571428099895,0.032714888218571395,0.06476933137891294,-0.013041285614976503,-0.011225359459527486,-0.8204547934459194,0.8195131656830498,-0.16176222706648818,0.18075525814184926,-0.1935658620538168,0.21259992100765376,-0.38749258487625077,0.3871552660905455,-0.5103948888246328,0.5125782242636739,-0.3107230856768705,0.3290322869057981,-0.11024796022380763,0.12185449114517193,-0.04536000765664353,0.048220828544265744,-0.052553484129517394,0.05500606117979649,-0.07025137566789187,0.07564113897012563,-0.07899824361549125,0.0841518871928741,-0.04743358270964836,0.051606489311706014,-0.035995426733480045,0.03505973389958002
