row_index,mahalanobis_distance_squared,mahalanobis_threshold,is_multivariate_outlier
274,89.04508746702037,42.97982013935165,True
275,89.04508746702037,42.97982013935165,True
276,89.04508746702037,42.97982013935165,True
277,89.04508746702037,42.97982013935165,True
278,89.04508746702037,42.97982013935165,True
279,22.498111099576956,42.97982013935165,False
280,22.498111099576956,42.97982013935165,False
281,22.498111099576956,42.97982013935165,False
282,22.498111099576956,42.97982013935165,False
283,22.498111099576956,42.97982013935165,False
284,22.498111099576956,42.97982013935165,False
285,22.498111099576956,42.97982013935165,False
286,17.914986500427336,42.97982013935165,False
287,17.914986500427336,42.97982013935165,False
288,17.914986500427336,42.97982013935165,False
289,17.914986500427336,42.97982013935165,False
290,17.914986500427336,42.97982013935165,False
291,17.914986500427336,42.97982013935165,False
292,17.914986500427336,42.97982013935165,False
293,17.914986500427336,42.97982013935165,False
294,17.914986500427336,42.97982013935165,False
295,13.087384778173096,42.97982013935165,False
296,13.087384778173096,42.97982013935165,False
297,13.087384778173096,42.97982013935165,False
298,13.087384778173096,42.97982013935165,False
299,13.087384778173096,42.97982013935165,False
300,13.087384778173096,42.97982013935165,False
301,13.087384778173096,42.97982013935165,False
302,13.087384778173096,42.97982013935165,False
303,13.087384778173096,42.97982013935165,False
304,18.87439239803487,42.97982013935165,False
305,18.87439239803487,42.97982013935165,False
306,18.87439239803487,42.97982013935165,False
307,18.87439239803487,42.97982013935165,False
308,18.87439239803487,42.97982013935165,False
309,18.87439239803487,42.97982013935165,False
310,18.87439239803487,42.97982013935165,False
311,18.87439239803487,42.97982013935165,False
312,18.87439239803487,42.97982013935165,False
313,17.517395970001097,42.97982013935165,False
314,17.517395970001097,42.97982013935165,False
315,17.517395970001097,42.97982013935165,False
316,17.517395970001097,42.97982013935165,False
317,17.517395970001097,42.97982013935165,False
318,17.517395970001097,42.97982013935165,False
319,17.517395970001097,42.97982013935165,False
320,17.517395970001097,42.97982013935165,False
321,17.517395970001097,42.97982013935165,False
322,17.517395970001097,42.97982013935165,False
323,18.13833369211806,42.97982013935165,False
324,18.13833369211806,42.97982013935165,False
325,18.13833369211806,42.97982013935165,False
326,18.13833369211806,42.97982013935165,False
327,18.13833369211806,42.97982013935165,False
328,18.13833369211806,42.97982013935165,False
329,18.13833369211806,42.97982013935165,False
330,18.13833369211806,42.97982013935165,False
331,18.13833369211806,42.97982013935165,False
332,18.13833369211806,42.97982013935165,False
