model,feature_space,observations,rmse,mae,r2,skill_vs_mean_baseline,crop,target_scale,skill_vs_crop_mean
ridge,pca,38,7.109224664396104,2.392587270242568,-0.030782351533983565,,soya_beans,raw,
ridge,pca,40,3.071809851464353,2.045486559661542,0.22938207063359994,,sweet_potatoes,raw,
ridge,raw,41,1.2518804171286744,1.048561688117298,-25.36721044390515,,beans,raw,
ridge,raw,42,1.120015559899834,0.9034225550926697,-42.190963233693395,,groundnuts,raw,
ridge,raw,24,2.5154439291452726,1.9731760069905835,-0.6488121619576372,,irish_potatoes,raw,
ridge,raw,42,1.1136683496162978,0.6752297507249342,0.13983643910177346,,maize,raw,
ridge,raw,39,1.0568328661231028,0.8657458291572416,-8.034544897332086,,millet,raw,
ridge,raw,36,1.2500504019852319,0.8957485402309463,-1.2275179028047383,,rice,raw,
ridge,raw,30,1.1990937432357645,1.0045990332401493,-28.042174515563193,,simsim,raw,
ridge,raw,41,1.0095684238445557,0.7875471357680933,-0.2692706175933166,,sorghum,raw,
ridge,raw,38,7.081739547967436,2.303205974837995,-0.02282750176606574,,soya_beans,raw,
ridge,raw,40,4.097023748746493,2.538266121859342,-0.37084203882519184,,sweet_potatoes,raw,
dummy_mean,hybrid,373,0.600446281343499,0.5184998464773146,-0.15620490844265156,,,log1p,
dummy_mean,pca,373,0.600446281343499,0.5184998464773146,-0.15620490844265156,,,log1p,
dummy_mean,raw,373,0.600446281343499,0.5184998464773146,-0.15620490844265156,,,log1p,
historical_subregion_crop_mean,baseline,373,0.600446281343499,0.5184998464773146,-0.15620490844265156,,,log1p,
historical_subregion_mean,baseline,373,0.600446281343499,0.5184998464773146,-0.15620490844265156,,,log1p,
ols,hybrid,373,0.7446884996664287,0.5793133736790632,-0.7784259377054763,,,log1p,
ols,pca,373,0.4210391654871678,0.3283380342249425,0.4314986737668859,,,log1p,
ols,raw,373,0.8396888770183931,0.6854657069783316,-1.2611183284475498,,,log1p,
previous_wave_yield,baseline,373,0.600446281343499,0.5184998464773146,-0.15620490844265156,,,log1p,
ridge,hybrid,373,0.5125119970817303,0.4055858206720874,0.1576461567319828,,,log1p,
ridge,pca,373,0.41412326408168904,0.32070536923131243,0.45002145647406033,,,log1p,
ridge,raw,373,0.5148860230288002,0.4078347064425906,0.14982428525857394,,,log1p,
dummy_mean,hybrid,373,3.045514496744009,1.52530015334963,-0.3441743332209506,,,crop_normalized,
dummy_mean,pca,373,3.045514496744009,1.52530015334963,-0.3441743332209506,,,crop_normalized,
dummy_mean,raw,373,3.045514496744009,1.52530015334963,-0.3441743332209506,,,crop_normalized,
historical_subregion_crop_mean,baseline,373,3.045514496744009,1.52530015334963,-0.3441743332209506,,,crop_normalized,
historical_subregion_mean,baseline,373,3.045514496744009,1.52530015334963,-0.3441743332209506,,,crop_normalized,
ols,hybrid,373,3.778185260807097,2.231050680430699,-1.0687154362878144,,,crop_normalized,
ols,pca,373,2.621262674251525,1.010905815255716,0.0042384721498679445,,,crop_normalized,
ols,raw,373,4.158936233539821,2.8214008095921823,-1.5066793276282389,,,crop_normalized,
