fold,feature,importance_mean,importance_std,model,feature_space
1,bulk_density,3.0421985861435856,0.3174386931897907,ols,raw
1,cation_exchange_capacity,11.956471851042185,1.2017904537397888,ols,raw
1,soil_ph_sd,10.761991979418973,2.280374355459791,ols,raw
1,soil_organic_carbon_sd,-0.31513177472414355,0.7445299157613365,ols,raw
1,clay_pct_sd,6.527643270736152,0.5148798461676634,ols,raw
1,sand_pct_sd,7.830374687449387,1.041512329501567,ols,raw
1,silt_pct_sd,-5.490095125102244,0.7573081959053767,ols,raw
1,bulk_density_sd,8.154256466764696,0.8409287602760355,ols,raw
1,cation_exchange_capacity_sd,-2.047030008202256,0.23950737705104302,ols,raw
1,season,39.313904598037155,3.7298183406305574,ols,raw
1,crop,-0.03858914359066219,0.34345868369473126,ols,raw
2,rain_total_mm,2.4353574972104273,0.36373942560943423,ols,raw
2,rainy_days_1mm,0.14344029940991448,0.09245067016918633,ols,raw
2,heavy_rain_days_20mm,-0.02397666900393407,0.004661987776149798,ols,raw
2,maximum_5day_rainfall_mm,0.855901451735624,0.16667459057376835,ols,raw
2,longest_dry_spell_days,0.5059917358970193,0.2251502120025588,ols,raw
2,wet_day_rainfall_cv,-0.022672740053092076,0.02300931043338913,ols,raw
2,temperature_mean_c,76.40723012094215,6.734487609025836,ols,raw
2,temperature_maximum_c,1.733919505422741,0.23022923460491715,ols,raw
2,growing_degree_days,93.9066375863459,7.29669605723014,ols,raw
2,heat_days_32c,-0.08001835459010653,0.2378388778485866,ols,raw
2,soil_ph,0.595843160765333,0.3827647512202113,ols,raw
2,soil_organic_carbon,0.155802488570278,0.04339390921054665,ols,raw
2,clay_pct,0.56134171617314,0.13256263959120843,ols,raw
2,sand_pct,-0.026589196172647787,0.008304934507436044,ols,raw
2,silt_pct,-0.06982766759919415,0.10249649626973588,ols,raw
2,bulk_density,2.615399625622138,0.3022641414045069,ols,raw
2,cation_exchange_capacity,-0.06764469988009321,0.0390153953955082,ols,raw
2,soil_ph_sd,0.3653042488197967,0.38804745651483435,ols,raw
2,soil_organic_carbon_sd,0.13652636204021604,0.03572341526066887,ols,raw
2,clay_pct_sd,0.17062814000198295,0.04390747352120804,ols,raw
2,sand_pct_sd,0.7233958136071896,0.15178901808126516,ols,raw
2,silt_pct_sd,0.01690806079451832,0.005575598913998545,ols,raw
2,bulk_density_sd,2.09264193110509,0.39019229239786507,ols,raw
2,cation_exchange_capacity_sd,0.029662385355329945,0.0174241778537639,ols,raw
2,season,33.032513468717134,2.123396747934685,ols,raw
2,crop,0.5098399051171368,0.13686547716127268,ols,raw
3,rain_total_mm,15.367329872380278,1.0712496283518997,ols,raw
3,rainy_days_1mm,5.150955220236564,0.43545744078448656,ols,raw
3,heavy_rain_days_20mm,3.980331043048846,0.3789358577131089,ols,raw
3,maximum_5day_rainfall_mm,3.465218855407086,0.3420184757621986,ols,raw
3,longest_dry_spell_days,-0.33254636110829916,0.04136998696203182,ols,raw
3,wet_day_rainfall_cv,5.791134923776678,0.9837322622786664,ols,raw
3,temperature_mean_c,50.01492517033665,4.683823037949334,ols,raw
3,temperature_maximum_c,1.94540719559564,0.37601603374196374,ols,raw
3,growing_degree_days,55.851405496078506,4.701159737885682,ols,raw
3,heat_days_32c,0.7942260328564764,0.2482138101357605,ols,raw
3,soil_ph,0.9685233177990575,0.2362858278892999,ols,raw
3,soil_organic_carbon,1.5778699760798034,0.24936398060193843,ols,raw
3,clay_pct,-0.09422847817008381,0.11374227485226092,ols,raw
3,sand_pct,0.21503480399274616,0.10109900595634351,ols,raw
3,silt_pct,0.3302843876449604,0.15671691967904072,ols,raw
