crop,table_id,entity_type,zardi,season_group,area_planted_ha,area_harvested_ha,production_mt,yield_mt_per_ha_production_over_harvested,yield_mt_per_ha_production_over_planted,cv_area_planted_pct,cv_area_harvested_pct,cv_production_pct
maize,Table 6-2,zardi,Nabuin,total_2020,34225.55841046482,19311.921875,27723.509765625,1.4355645152807972,0.8100235921102823,93.49124060339659,63.29115911092179,95.80405164331675
maize,Table 6-2,zardi,Serere,first_season_2020,43328.55722344543,38173.1833947743,52369.13823892335,1.3718829183654722,1.2086517898312568,16.33521281097101,12.485533058134896,17.74650106778382
maize,Table 6-2,zardi,Serere,second_season_2020,50805.87175391589,20599.10335032369,31725.84133426712,1.5401564230594815,0.6244522579581923,13.912503766713566,14.26600221224707,18.56680274224161
maize,Table 6-2,zardi,Serere,total_2020,94134.42897736133,58772.28515625,84094.9765625,1.430861099562965,0.8933498346574583,13.912503766713566,14.26600221224707,18.56680274224161
maize,Table 6-2,zardi,Mbarara,first_season_2020,35621.61320584909,32736.834295414268,60650.97817670244,1.8526830550991409,1.702645464881515,22.021378024047248,22.970452062130857,20.18496201044402
maize,Table 6-2,zardi,Mbarara,second_season_2020,39285.81066131161,29909.97104632984,88687.71917134176,2.9651556343523895,2.257500040814502,24.406445849862603,29.365999555049388,21.56440386258857
maize,Table 6-2,zardi,Mbarara,total_2020,74907.4238671607,62500.98046875,149338.703125,2.389381766573537,1.9936435591462098,24.406445849862603,29.365999555049388,21.56440386258857
maize,Table 6-2,zardi,Rwebitaba,first_season_2020,64066.413968963956,53605.058954054206,161020.45271850328,3.003829412005994,2.513336438598035,26.093121792626295,23.904563954035098,25.692759896606
maize,Table 6-2,zardi,Rwebitaba,second_season_2020,85373.4750910792,45901.87972764588,196466.2098045239,4.280134298861749,2.301255859562087,21.151534637209917,29.602955829093236,22.956032838810632
maize,Table 6-2,zardi,Rwebitaba,total_2020,149439.88906004315,99506.9375,357486.65625,3.5925802283885986,2.3921769381558238,21.151534637209917,29.602955829093236,22.956032838810632
