feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
MAM_tmin,0.23771526187151418,0.011239343287869824,0.03995990857015305,0.045658968550883784,0.02625705471796308,-0.03792177182741206,-0.17598427600474725,-0.11856611255425936,0.1107313780267883,-0.1056725794897669,0.08311448122667,0.4156224650670569,0.13003587946877904,-0.4200363905189791,0.06921150837429163,0.505557639118722,0.026675320620657486,-0.13447401597973305,-0.048500322928398065,-0.017939788508894154,-0.32841588440693453,-0.07922280360255111,0.21881326691002823,-0.042036444919036665,1.552230566304047e-14,-0.20173874648333318,0.09761828302362262,-0.0008570112112426367,0.00011873792101790751,-0.0006470926080861044,2.430218513164535e-05,-2.166826642667471e-13,1.0310013460948595e-17,6.4247987172232386e-18,9.86637237637751e-22,5.772744514277059e-27,-0.015916914326390856
MAM_gdd,0.24316623049398933,-0.01573911419136138,0.030007234365535415,0.005025032887114549,-0.03621390881957369,-0.06872664762064856,-0.013454747981600651,-0.023282416096218034,-0.23952236538791905,0.04107190122621712,-0.17450681397989046,0.2676965488785455,0.11528832342265188,-0.2839352489743162,0.05595036635493203,0.08740761197598816,-0.03377247603250397,-0.004080609567878275,-0.04111206350472603,0.005667720023651884,0.6418784221466033,0.16187718277231153,-0.42028036233520744,-0.023845914817674226,-3.0059288391726113e-14,0.022379313339932237,0.0003280981035396987,0.014492676285993088,0.0033570930655075306,-0.011211520888690691,0.0003470472782633786,7.331963811915013e-13,2.413917274176647e-18,5.78233405426111e-19,1.4089668451380198e-20,8.243762502529769e-26,-0.21895620822460665
MAM_heat_stress,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,1.1102230246251565e-16,2.7755575615628914e-17,2.7755575615628914e-17,-5.551115123125783e-17,-2.0816681711721685e-17,0.0,8.326672684688674e-17,-0.0,1.8041124150158794e-16,-0.0,0.0,-7.741203511546502e-16,4.9048086555800174e-15,-4.109126233720062e-16,5.646524914304507e-15,-0.0032034164641080052,5.551115123125783e-17,-0.14396545584402842,-0.28337191835772485,0.9196413808298309,0.16403071284636678,0.1569876129841787,-0.005328585000902831,-9.117138626913749e-12,5.832817737573637e-17,-1.0089693500836299e-16,-2.1633362501295304e-19,-1.265752305994595e-24,0.04054864970346287
MAM_cold_stress,0.0,-1.262177448353619e-29,8.271806125530277e-25,-0.0,-3.3881317890172014e-21,2.168404344971009e-19,8.673617379884035e-19,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,0.0,1.1102230246251565e-16,1.1102230246251565e-16,-1.249000902703301e-16,-8.326672684688674e-17,-0.0,2.0816681711721685e-17,-6.938893903907228e-17,2.7755575615628914e-16,7.511352650979575e-16,-2.0963049005007228e-16,-2.291949182525732e-15,-1.702603986616924e-15,0.008268205128227998,-5.551115123125783e-17,0.111398383638596,0.23239034993207622,-0.07859723009790759,0.029937507294776424,0.9610791870480895,-0.03010367129946455,-3.646038603343862e-11,1.5003276035505848e-18,-6.577996847648523e-17,-1.2221699272169418e-18,-7.150827512239304e-24,-0.043168836448315956
SON_tmax,0.23509608026758186,-0.018826465361633887,0.009732386196293533,-0.047522434611754025,-0.07893683610466533,0.04697891000056184,0.07029936705028333,0.16846529277026978,0.27628804363324533,-0.3432580276229712,0.10488681462210492,-0.32643639989439827,0.00914910209530128,-0.443696789565168,0.24104868244313477,-0.26403278491834586,0.03772302555169567,0.1650439706129977,-0.04534704289065815,-0.010551373133506937,0.16068070636359363,-0.3873880273815874,0.057208039867402256,-0.22657216833267566,1.0269562977782698e-15,0.036829621725512525,-0.016864122595069038,-0.001935888750414199,-7.960343868533866e-05,0.002863429016804292,-8.593227905625857e-05,-4.617929773633817e-13,-2.1812689826412092e-18,-1.3928753668065523e-18,-3.488738878623101e-21,-2.0412355289809162e-26,0.028138286519889828
SON_tmin,0.23376572795675737,-0.050458303725374604,0.09419192648982402,-0.01942808836284513,-0.07210800983686698,0.09414209900474854,0.0290512958537949,-0.06858801520339837,-0.21372363615969298,-0.06416597544694916,0.17544380006685487,-0.059808187216948486,0.5223393885851605,0.5005885523660665,0.07166413518732843,0.15690796749485053,0.23996358296357848,0.08948520713988944,0.11196775328917732,-0.013378765896647249,0.14640731990828568,-0.3542892963371837,0.045039499875906885,-0.04084149737922916,-2.7755575615628914e-16,-0.19600402702129674,0.09484334029564001,-0.0008326494118484552,0.00011536262163508015,-0.0006286980525632074,2.3611359911038e-05,-2.1055002061196385e-13,1.0016840170733553e-17,6.242116930852316e-18,9.585906285076038e-22,5.6086457932025474e-27,-0.015464452714742465
SON_gdd,0.242528438233417,-0.035494416060660734,0.05147491380347001,-0.03565287287657426,-0.07938295805038639,0.07064658228235046,0.05207291574497649,0.05934425778088513,0.044728298948385654,-0.21622146345275753,0.14192464808911762,-0.2068404912857493,0.2586125045602347,0.010762584735976063,0.16685056387166988,-0.06819452671823607,0.14062680147923218,0.12853275609238954,0.016843628222009535,0.00612880554871841,-0.2966783787080896,0.7231389076585826,-0.10152018783637715,-0.0238649764162189,1.942890293094024e-16,0.022397202588002638,0.00032836037381055546,0.014504261229538748,0.0033597766094475034,-0.011220482990233292,0.00034732469583936425,7.338396090655675e-13,2.4160510529129895e-18,5.787965306698912e-19,1.4100931244418616e-20,8.250352280765133e-26,-0.2191312342350297
SON_heat_stress,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-2.7755575615628914e-17,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,4.163336342344337e-17,0.0,2.7755575615628914e-17,-3.469446951953614e-17,1.4988010832439613e-15,-1.1058116770358561e-15,-8.295772922772837e-16,-1.0822031747299843e-15,0.005878673958618387,-4.2500725161431774e-17,0.3905323513236713,0.8232529853037035,0.3362829654664586,0.06759180837507965,-0.21541204448342155,0.006741639233120432,-5.2822113892573185e-11,-6.571360604975878e-17,-1.1066466795910766e-16,2.737017878251146e-19,1.6014097304574249e-24,0.07484491913435033
SON_cold_stress,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,-6.938893903907228e-18,2.498001805406602e-16,-1.6786160135506822e-15,1.205253345043511e-15,-2.8122035949929014e-15,0.0012837329280275072,-2.5153490401663703e-17,-0.007245311432505536,-0.016663829195142785,-0.17508950443512797,0.98356316863491,-0.03978748722696989,0.003296619823642355,4.795752060853572e-11,1.7704617073612743e-17,2.608327248651166e-17,1.3383848214558486e-19,7.830789208627259e-25,0.004628302927637783
DJF_tmax,0.22246143922092293,-0.01640454181534904,0.07760374066641251,0.1089484428605793,-0.15137110303557214,-0.03664640192219842,-0.0038995105141858555,-0.09500262159379691,0.5702572291404755,0.41076569265012175,-0.3283223204755459,0.0934985555005708,0.08047772863392803,0.18624507874185042,0.06229669455968912,-0.06773582584667655,0.0648785668204825,0.02697561169734946,-0.014583855673589413,-0.4160134067949203,0.027340077747623925,0.04518357557995899,0.011574766033924482,-0.23493107480754577,-5.339478859056612e-15,0.038188373622433595,-0.017486289141788323,-0.00200730931865654,-8.254024113577361e-05,0.002969069244045072,-8.91025708405428e-05,-4.788496915178299e-13,-2.2618131961851546e-18,-1.4442976082965162e-18,-3.6174486059337474e-21,-2.1165426463718045e-26,0.029176389774642947
