district,year,DJF_rzsm_1,JJA_rzsm_1,MAM_rzsm_1,SON_rzsm_1,DJF_rzsm_1m,JJA_rzsm_1m,MAM_rzsm_1m,SON_rzsm_1m,DJF_rzsm_2,JJA_rzsm_2,MAM_rzsm_2,SON_rzsm_2,DJF_rzsm_3,JJA_rzsm_3,MAM_rzsm_3,SON_rzsm_3,DJF_surface_sm,JJA_surface_sm,MAM_surface_sm,SON_surface_sm,annual_surface_sm,annual_rzsm_1m,annual_rzsm_1,annual_rzsm_2,annual_rzsm_3,surface_sm_cv,rzsm_1m_cv,min_surface_sm,max_surface_sm,min_rzsm_1m,max_rzsm_1m,annual_surface_nobs,annual_rzsm_1m_nobs,soil_moisture_index
Kapchorwa,2020,0.20782355467478433,0.24433498084545135,0.23965851465861002,0.24923970798651376,0.22471598784128824,0.2442442625761032,0.2323849449555079,0.25000245372454327,0.21579847733179727,0.24498208363850912,0.23520363867282867,0.25044550995031994,0.2319901535908381,0.2438602348168691,0.2297633389631907,0.24990805486838022,0.20063447455565134,0.24435679614543915,0.24336581925551096,0.24818944931030273,0.23413663481672606,0.23783691227436066,0.23526418954133987,0.23660742739836374,0.23888044555981955,0.09640317819416847,0.05432628400514649,0.18808379769325256,0.2585684061050415,0.216218501329422,0.2547553777694702,30.5,30.5,0.23783691227436066
Kapchorwa,2021,0.16679119567076364,0.20194790760676065,0.20659831166267395,0.23065418004989624,0.1872254659732183,0.20482411980628967,0.19427513082822165,0.22838831941286722,0.1737255404392878,0.20383448898792267,0.19938408335049948,0.23180371026198068,0.19738114376862845,0.2057983030875524,0.18966678778330484,0.22630298137664795,0.16308784981568655,0.2017089823881785,0.20999809602896372,0.23044111331303915,0.20130901038646698,0.20367825900514921,0.20149789874752363,0.20218695575992265,0.20478730400403342,0.18246698174510376,0.10957541074881011,0.15118345618247986,0.25553297996520996,0.16201390326023102,0.24122527241706848,30.416666666666668,30.416666666666668,0.20367825900514921
Kapchorwa,2022,0.16196625928084055,0.2250275363524755,0.19000815351804098,0.2247588038444519,0.17455466091632843,0.21656514704227448,0.176602174838384,0.2292408049106598,0.16419518490632376,0.2225291927655538,0.18268161018689474,0.22888983289400736,0.18183246751626334,0.212172731757164,0.17132811745007834,0.23016329606374106,0.16298779348532358,0.22656476497650146,0.19486598670482635,0.2208201934893926,0.201309684664011,0.19924069692691168,0.20044018824895224,0.1995739551881949,0.19887415319681168,0.1781572119204344,0.15694952921663735,0.14291627705097198,0.24901029467582703,0.14851048588752747,0.2445790320634842,30.25,30.416666666666668,0.19924069692691168
Kapchorwa,2023,0.1589267055193583,0.20352728168169656,0.20684475700060526,0.21611734728018442,0.1800367534160614,0.20658492545286813,0.1900091121594111,0.20952434341112772,0.16944899161656699,0.20681360363960266,0.19775954882303873,0.21229412655035654,0.18884897232055664,0.20698019862174988,0.18332795798778534,0.2070406178633372,0.15228648980458578,0.201322669784228,0.21217810610930124,0.21827149391174316,0.19601468990246454,0.1965387836098671,0.19635402287046114,0.19657906765739122,0.19654943669835725,0.1635946213626402,0.11059891450166327,0.12056557834148407,0.22470322251319885,0.14834487438201904,0.22263190150260925,30.333333333333332,30.416666666666668,0.1965387836098671
Kapchorwa,2024,0.1949700117111206,0.23229169845581055,0.22111923495928446,0.24464812874794006,0.20549355447292328,0.22778632740179697,0.21004086236159006,0.24326524138450623,0.19973008334636688,0.23078830043474832,0.2153334120909373,0.24543597300847372,0.21012921631336212,0.22553444902102152,0.20554819206396738,0.2419493943452835,0.1914685716231664,0.23365229864915213,0.22445437808831534,0.2442187120517095,0.22344849010308585,0.22164649640520415,0.2232572684685389,0.22282194222013155,0.22079031293590864,0.11443866481931084,0.09153181712635505,0.1728755682706833,0.25457489490509033,0.18650072813034058,0.2447035312652588,30.416666666666668,30.5,0.22164649640520415
Mbale,2020,0.17326126992702484,0.20539794862270355,0.21657611429691315,0.21350784599781036,0.18805484970410666,0.20840765039126077,0.20629232625166574,0.2123112976551056,0.1803693324327469,0.20723948379357657,0.21148520211378732,0.21331713100274405,0.19436320662498474,0.2094933440287908,0.2019819269577662,0.21160895625750223,0.1674384524424871,0.20501292745272318,0.2199114809433619,0.213261678814888,0.20140613491336504,0.20376653100053468,0.20218579471111298,0.2031027873357137,0.204361858467261,0.1078191771932366,0.05630814493513759,0.1611175835132599,0.22413532435894012,0.18485786020755768,0.2197318971157074,30.416666666666668,30.5,0.20376653100053468
Mbale,2021,0.14765043059984842,0.17952670653661093,0.1861537347237269,0.19387978812058768,0.16389374434947968,0.1830210636059443,0.17501935362815857,0.19459772606690726,0.15324370563030243,0.18149607380231222,0.1798493613799413,0.19582851231098175,0.17192599177360535,0.18436594804128012,0.1707486261924108,0.1941019892692566,0.14409589767456055,0.1795202245314916,0.18907504777113596,0.19317168494065604,0.17646571372946104,0.17913297191262245,0.17680266499519348,0.17760441328088442,0.1802856388191382,0.17488636867303473,0.09812326620093663,0.1282166987657547,0.21541112661361694,0.14678575098514557,0.20157358050346375,30.416666666666668,30.416666666666668,0.17913297191262245
Mbale,2022,0.13508680711189905,0.18927190701166788,0.16963163514931998,0.1970084309577942,0.14607524375120798,0.18537201980749765,0.15460733075936636,0.19742789367834726,0.13684475918610892,0.18864279488722482,0.16236318896214166,0.19853931665420532,0.1525218884150187,0.1830866535504659,0.14822535713513693,0.19694209595521292,0.1359295646349589,0.18996673822402954,0.1737953076759974,0.1947786509990692,0.17361756538351378,0.17087062199910483,0.17274969505767027,0.17159751492242017,0.1701939987639586,0.19437512166576165,0.16975189164927434,0.10886166244745255,0.21463830769062042,0.12552036345005035,0.20556776225566864,30.083333333333332,30.416666666666668,0.17087062199910483
Mbale,2023,0.13348877181609473,0.1715258260567983,0.17865086098512015,0.19140134255091348,0.15548150738080344,0.17561368147532144,0.16099164883295694,0.18300531804561615,0.14526602377494177,0.1747423162062963,0.16869335869948068,0.18690724670886993,0.164254700144132,0.17673067251841226,0.1541975885629654,0.17965501050154367,0.12546048561731973,0.1703441540400187,0.18464078505833945,0.19387125968933105,0.16857917110125223,0.16877303893367449,0.16876670035223165,0.16890223634739718,0.16870949293176332,0.20685978790587684,0.13685987908809102,0.08449622988700867,0.20921064913272858,0.12045459449291229,0.19705034792423248,30.333333333333332,30.416666666666668,0.16877303893367449
Mbale,2024,0.17550168434778848,0.19144238531589508,0.21319459875424704,0.19318527976671854,0.18122204144795737,0.19646131992340088,0.20186233520507812,0.19443968931833902,0.1779008756081263,0.1935584992170334,0.208074281613032,0.19412652651468912,0.18383601804574332,0.19874921441078186,0.19686764975388846,0.1948053389787674,0.17352711657683054,0.19115927815437317,0.21477283537387848,0.19364955524603525,0.19327719633777937,0.19349634647369385,0.19333098704616228,0.19341504573822021,0.19356455529729524,0.09838256583693653,0.060402462997187545,0.16531860828399658,0.23272323608398438,0.17661723494529724,0.2154829055070877,30.5,30.5,0.19349634647369385
