district,lat,lon,year,month,rainfall_mm,temp_c
nakasongola,1.32,32.46,2018,13,2.48,24.42
nakasongola,1.32,32.46,2019,1,0.54,27.08
nakasongola,1.32,32.46,2019,2,1.92,28.08
nakasongola,1.32,32.46,2019,3,1.06,28.04
nakasongola,1.32,32.46,2019,4,5.02,25.46
nakasongola,1.32,32.46,2019,5,3.9,23.66
nakasongola,1.32,32.46,2019,6,5.01,22.78
nakasongola,1.32,32.46,2019,7,2.6,22.86
nakasongola,1.32,32.46,2019,8,4.09,23.54
nakasongola,1.32,32.46,2019,9,3.87,23.98
nakasongola,1.32,32.46,2019,10,11.82,22.55
nakasongola,1.32,32.46,2019,11,3.27,23.02
nakasongola,1.32,32.46,2019,12,3.73,23.13
nakasongola,1.32,32.46,2019,13,3.91,24.49
nakasongola,1.32,32.46,2020,1,1.6,24.38
nakasongola,1.32,32.46,2020,2,1.93,25.65
nakasongola,1.32,32.46,2020,3,7.44,24.29
nakasongola,1.32,32.46,2020,4,5.31,23.7
nakasongola,1.32,32.46,2020,5,3.94,22.3
nakasongola,1.32,32.46,2020,6,2.62,21.73
nakasongola,1.32,32.46,2020,7,2.43,21.13
nakasongola,1.32,32.46,2020,8,2.74,22.85
nakasongola,1.32,32.46,2020,9,5.64,23.63
nakasongola,1.32,32.46,2020,10,5.96,22.78
nakasongola,1.32,32.46,2020,11,3.12,23.84
nakasongola,1.32,32.46,2020,12,1.08,24.83
nakasongola,1.32,32.46,2020,13,3.65,23.42
nakasongola,1.32,32.46,2021,1,2.89,24.67
nakasongola,1.32,32.46,2021,2,0.74,25.57
nakasongola,1.32,32.46,2021,3,0.66,26.75
nakasongola,1.32,32.46,2021,4,4.76,23.68
nakasongola,1.32,32.46,2021,5,2.2,23.36
nakasongola,1.32,32.46,2021,6,0.68,23.52
nakasongola,1.32,32.46,2021,7,0.31,23.65
nakasongola,1.32,32.46,2021,8,0.74,24.98
nakasongola,1.32,32.46,2021,9,2.4,23.93
nakasongola,1.32,32.46,2021,10,2.29,25.7
nakasongola,1.32,32.46,2021,11,2.94,25.39
nakasongola,1.32,32.46,2021,12,0.81,26.45
nakasongola,1.32,32.46,2021,13,1.78,24.81
nakasongola,1.32,32.46,2022,1,1.02,26.22
nakasongola,1.32,32.46,2022,2,0.57,26.8
nakasongola,1.32,32.46,2022,3,2.13,27.47
nakasongola,1.32,32.46,2022,4,3.55,25.18
nakasongola,1.32,32.46,2022,5,2.97,24.14
nakasongola,1.32,32.46,2022,6,1.4,23.26
nakasongola,1.32,32.46,2022,7,1.82,23.66
nakasongola,1.32,32.46,2022,8,3.74,22.97
nakasongola,1.32,32.46,2022,9,5.21,23.57
nakasongola,1.32,32.46,2022,10,4.31,23.91
nakasongola,1.32,32.46,2022,11,2.43,24.5
nakasongola,1.32,32.46,2022,12,1.97,25.16
nakasongola,1.32,32.46,2022,13,2.6,24.73
nakasongola,1.32,32.46,2023,1,0.61,26.3
nakasongola,1.32,32.46,2023,2,0.51,28.17
nakasongola,1.32,32.46,2023,3,6.37,24.97
nakasongola,1.32,32.46,2023,4,4.26,23.94
nakasongola,1.32,32.46,2023,5,2.85,24.01
nakasongola,1.32,32.46,2023,6,4.89,23.17
nakasongola,1.32,32.46,2023,7,1.51,23.28
nakasongola,1.32,32.46,2023,8,1.9,24.99
nakasongola,1.32,32.46,2023,9,5.89,24.42
nakasongola,1.32,32.46,2023,10,7.09,23.89
nakasongola,1.32,32.46,2023,11,5.18,23.88
nakasongola,1.32,32.46,2023,12,1.12,25.28
nakasongola,1.32,32.46,2023,13,3.52,24.67
mubende,0.59,31.37,2015,1,0.46,20.86
mubende,0.59,31.37,2015,2,0.95,23.09
mubende,0.59,31.37,2015,3,4.48,23.32
mubende,0.59,31.37,2015,4,4.07,20.63
mubende,0.59,31.37,2015,5,8.13,20.37
mubende,0.59,31.37,2015,6,1.85,20.73
mubende,0.59,31.37,2015,7,0.86,21.07
mubende,0.59,31.37,2015,8,1.97,21.7
mubende,0.59,31.37,2015,9,1.7,22.29
mubende,0.59,31.37,2015,10,8.67,21.02
mubende,0.59,31.37,2015,11,13.63,19.98
mubende,0.59,31.37,2015,12,5.02,20.12
mubende,0.59,31.37,2015,13,4.33,21.25
mubende,0.59,31.37,2016,1,1.15,21.21
mubende,0.59,31.37,2016,2,0.44,22.74
mubende,0.59,31.37,2016,3,2.88,23.22
mubende,0.59,31.37,2016,4,6.07,21.33
mubende,0.59,31.37,2016,5,3.85,20.47
mubende,0.59,31.37,2016,6,1.33,19.91
mubende,0.59,31.37,2016,7,1.04,20.81
mubende,0.59,31.37,2016,8,2.45,21.17
mubende,0.59,31.37,2016,9,4.13,21.49
mubende,0.59,31.37,2016,10,6.92,20.75
mubende,0.59,31.37,2016,11,3.57,20.57
mubende,0.59,31.37,2016,12,2.2,21.7
mubende,0.59,31.37,2016,13,3.01,21.28
mubende,0.59,31.37,2017,1,0.88,23.33
mubende,0.59,31.37,2017,2,3.94,22.96
mubende,0.59,31.37,2017,3,3.35,21.57
mubende,0.59,31.37,2017,4,4.6,21.16
mubende,0.59,31.37,2017,5,4.85,20.28
mubende,0.59,31.37,2017,6,1.68,20.72
mubende,0.59,31.37,2017,7,2.37,20.85
mubende,0.59,31.37,2017,8,2.75,21.21
mubende,0.59,31.37,2017,9,6.53,21.18
mubende,0.59,31.37,2017,10,5.39,21.22
mubende,0.59,31.37,2017,11,5.08,20.66
mubende,0.59,31.37,2017,12,0.47,22.83
mubende,0.59,31.37,2017,13,3.48,21.49
mubende,0.59,31.37,2018,1,0.56,22.75
mubende,0.59,31.37,2018,2,2.63,23.62
mubende,0.59,31.37,2018,3,4.04,21.01
mubende,0.59,31.37,2018,4,7.42,20.36
mubende,0.59,31.37,2018,5,1.96,19.95
mubende,0.59,31.37,2018,6,2.15,19.9
mubende,0.59,31.37,2018,7,0.76,20.32
mubende,0.59,31.37,2018,8,3.44,21.23
mubende,0.59,31.37,2018,9,6.91,21.2
mubende,0.59,31.37,2018,10,3.37,20.62
mubende,0.59,31.37,2018,11,3.21,20.48
mubende,0.59,31.37,2018,12,2.89,21.25
mubende,0.59,31.37,2018,13,3.27,21.04
mubende,0.59,31.37,2019,1,1.19,22.84
mubende,0.59,31.37,2019,2,2.4,23.83
mubende,0.59,31.37,2019,3,1.96,23.87
mubende,0.59,31.37,2019,4,3.4,22.53
mubende,0.59,31.37,2019,5,3.8,20.64
mubende,0.59,31.37,2019,6,3.39,20.75
mubende,0.59,31.37,2019,7,4.1,20.67
mubende,0.59,31.37,2019,8,3.02,21.13
mubende,0.59,31.37,2019,9,2.93,21.5
mubende,0.59,31.37,2019,10,10.56,20.02
mubende,0.59,31.37,2019,11,3.17,20.23
mubende,0.59,31.37,2019,12,3.8,20.31
mubende,0.59,31.37,2019,13,3.66,21.51
mubende,0.59,31.37,2020,1,2.81,21.33
mubende,0.59,31.37,2020,2,2.43,22.04
mubende,0.59,31.37,2020,3,7.53,21.56
mubende,0.59,31.37,2020,4,4.38,20.76
mubende,0.59,31.37,2020,5,3.01,20.16
mubende,0.59,31.37,2020,6,2.87,19.49
mubende,0.59,31.37,2020,7,1.55,19.09
mubende,0.59,31.37,2020,8,3.41,20.52
mubende,0.59,31.37,2020,9,3.43,20.87
mubende,0.59,31.37,2020,10,5.89,20.39
mubende,0.59,31.37,2020,11,4.21,20.43
mubende,0.59,31.37,2020,12,5.14,21.03
mubende,0.59,31.37,2020,13,3.9,20.63
mubende,0.59,31.37,2021,1,4.34,21.13
mubende,0.59,31.37,2021,2,1.32,21.92
mubende,0.59,31.37,2021,3,1.83,22.03
mubende,0.59,31.37,2021,4,3.51,20.54
mubende,0.59,31.37,2021,5,3.43,20.29
mubende,0.59,31.37,2021,6,0.62,20.18
mubende,0.59,31.37,2021,7,0.14,20.6
mubende,0.59,31.37,2021,8,0.85,22.12
mubende,0.59,31.37,2021,9,2.72,21.54
mubende,0.59,31.37,2021,10,3.18,21.92
mubende,0.59,31.37,2021,11,6.48,21.08
mubende,0.59,31.37,2021,12,3.44,21.48
mubende,0.59,31.37,2021,13,2.66,21.23
