spatial_unit,year,season,crop,yield_tons_ha,yield_tons_ha_planted,harvested_fraction,area_planted_ha,area_harvested_ha,production_mt,cv_area_planted_pct,cv_area_harvested_pct,cv_production_pct,rain_total_mm,rain_mean_daily_mm,rainy_days_1mm,rainy_days_10mm,heavy_rain_days_20mm,maximum_1day_rainfall_mm,maximum_5day_rainfall_mm,longest_dry_spell_days,wet_day_rainfall_cv,rainfall_onset_date,rainfall_cessation_date,onset_day_of_year,cessation_day_of_year,season_length_days,temperature_mean_c,temperature_maximum_c,temperature_minimum_c,temperature_range_c,growing_degree_days,heat_days_32c,extreme_heat_days_35c,cold_days_10c,target_source,target_source_type,target_geographic_level,predictor_geographic_level,target_definition,target_year,is_proxy,is_synthetic,is_geographically_assigned,season_definition,yield_consistency_ok,rainfall_source,temperature_source,soil_source,soil_source_version,soil_depth_cm,soil_extraction_date,soil_quality_flag,data_version,processing_version
Karamoja,2020,second_season,maize,7.244065383360269,0.9663497839082253,0.13339882134801626,5237.164565568191,698.6315802523923,5060.932846228637,93.4912406033966,63.29115911092179,95.80405164331675,559.2658033605132,4.546876450085474,62,23,3,27.605228969029017,85.9785932813372,8,0.6764083015557801,2020-08-15,2020-12-09,228,344,117,22.39354819976771,30.38142857142857,14.38,10.652299651567944,1524.4064285714287,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Kigezi,2018,annual,maize,1.1,1.178959174517721,0.5499327052489906,22290.0,12258.0,26279.0,,,19.4,1403.914933408855,3.846342283311931,227,40,3,25.479330825805665,68.74964990615845,36,0.7771274810287513,2018-01-02,2018-08-04,2,216,215,19.985383561643836,30.034,10.488,10.24745753424658,3644.665,0,0,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Kigezi,2020,first_season,maize,1.6788303054282812,1.4092738378827194,0.839437930877239,5228.6625781950825,4389.13769589533,7368.617378566739,25.8180164851992,27.98378595558704,32.09402224593719,423.73072546646006,3.092925003404818,64,12,1,53.299984741210935,75.2753701210022,19,1.108959742773348,2020-03-16,2020-06-23,76,175,100,19.93578102189781,27.428,12.978,9.256175182481753,1361.202,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Kigezi,2020,second_season,maize,4.580426866194772,1.658375609870581,0.36205699999491325,9892.739728998818,3581.735668011803,16405.878281369343,23.034586873294348,18.717003393404777,25.934220948867157,527.7183093346655,4.2903927588184185,80,16,5,29.34966087341309,65.46480050086976,4,0.9418999996279661,2020-09-23,2020-12-13,267,348,82,20.08734959349594,27.876,11.892,9.756878048780491,1240.7440000000001,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Lango,2018,annual,maize,1.3,1.2901204819277108,0.4057831325301205,211650.0,85884.0,273054.0,,,18.3,1452.5022938729498,3.9794583393779446,204,54,4,28.020235538482662,67.19821238517761,49,0.7443255564760712,2018-03-02,2018-12-17,61,351,291,25.034402397260276,37.29625,16.56,11.033660958904104,5487.556875,127,30,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Lango,2020,first_season,maize,1.5321273000173696,1.4895923738594221,0.9722379947426919,69185.29275555443,67264.57029434633,103057.8844719054,15.14678643986634,14.909516987867702,15.107604414408504,629.6462391130626,4.595957949730384,106,16,1,20.20732343196869,49.72837895154953,4,0.6489764734505596,2020-03-07,2020-07-15,67,197,131,23.52209397810219,34.26,16.85125,8.588129562043793,1852.526875,8,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Lango,2020,second_season,maize,2.9489717758099068,1.4266889913384897,0.48379201287766255,137032.14525612045,66295.05738240275,195502.2530964039,11.73544245354198,13.95645092152128,14.755382612409312,646.7427622675896,5.258071237947883,89,20,3,25.378374934196472,58.08967339992523,7,0.6870440587237131,2020-08-15,2020-12-09,228,344,117,23.315675813008134,31.4025,15.42625,9.729054878048778,1637.828125,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
North Buganda,2018,annual,maize,2.1,1.4712611175900296,0.2642649393713732,569368.0,150464.0,837689.0,,,20.4,1428.5356517447667,3.913796306150046,232,41,1,21.855369611219928,72.85702883113515,18,0.7904018613495304,2018-03-02,2018-07-16,61,197,137,23.203494396014943,34.91,15.481818181818182,9.237205479452054,4819.2754545454545,29,0,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
North Buganda,2020,first_season,maize,2.169407944352197,1.9407868042052872,0.8946158832219184,215227.037221874,192545.52599748352,417709.7937484132,14.404944499910464,14.57607379166666,15.123540005708216,638.1251030830159,4.6578474677592405,102,20,1,20.148593295704234,59.351783665743746,5,0.7284979986835934,2020-03-02,2020-07-15,62,197,136,22.080875912408757,29.02636363636364,16.24,7.263344392833446,1655.08,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
North Buganda,2020,second_season,maize,2.6867403311215865,1.9325388886750048,0.7192875568545404,223403.78002482187,160691.5591261233,431736.4927749645,12.96591442306122,14.189739878565364,15.35713871023032,713.3111252215776,5.7992774408258345,108,17,5,37.12618940526789,75.88339151035656,2,0.9181693613363788,2020-08-16,2020-12-15,229,350,122,22.353340724316336,28.22636363636364,15.992727272727274,8.138359201773842,1519.460909090909,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
