spatial_unit,year,season,crop,yield_tons_ha,yield_tons_ha_planted,harvested_fraction,area_planted_ha,area_harvested_ha,production_mt,cv_area_planted_pct,cv_area_harvested_pct,cv_production_pct,rain_total_mm,rain_mean_daily_mm,rainy_days_1mm,rainy_days_10mm,heavy_rain_days_20mm,maximum_1day_rainfall_mm,maximum_5day_rainfall_mm,longest_dry_spell_days,wet_day_rainfall_cv,rainfall_onset_date,rainfall_cessation_date,onset_day_of_year,cessation_day_of_year,season_length_days,temperature_mean_c,temperature_maximum_c,temperature_minimum_c,temperature_range_c,growing_degree_days,heat_days_32c,extreme_heat_days_35c,cold_days_10c,target_source,target_source_type,target_geographic_level,predictor_geographic_level,target_definition,target_year,target_season,is_proxy,is_synthetic,is_geographically_assigned,season_definition,yield_consistency_ok,rainfall_source,temperature_source,soil_source,soil_source_version,soil_depth_cm,soil_extraction_date,soil_quality_flag,data_version,processing_version
Acholi,2020,second_season,maize,1.9919193221111424,1.1823105666877405,0.5935534404248184,10696.561668655642,6348.980979146792,12646.657888078616,18.42136967448647,19.386080764407403,21.47042551825298,650.1106713861227,5.285452612895306,93,18,2,22.452183485031128,61.82121396064758,8,0.6666527513708788,2020-08-15,2020-12-09,228,344,117,23.030365853658534,29.81,15.34875,9.431280487804873,1602.7350000000001,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,second_season,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Acholi,2020,second_season,millet,0.3783444913194841,0.16344406912940498,0.43199801471772575,10845.818462987523,4685.372043999466,1772.6847026295095,39.28169245727766,44.58241851756428,42.39707266072143,650.1106713861227,5.285452612895306,93,18,2,22.452183485031128,61.82121396064758,8,0.6666527513708788,2020-08-15,2020-12-09,228,344,117,23.030365853658534,29.81,15.34875,9.431280487804873,1602.7350000000001,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,second_season,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Acholi,2020,second_season,rice,0.8047415933139703,0.6865295288792632,0.8531055615655415,15680.716306644015,13377.306290529486,10765.274778489696,48.28847420372187,49.59736152682535,40.94279102886895,650.1106713861227,5.285452612895306,93,18,2,22.452183485031128,61.82121396064758,8,0.6666527513708788,2020-08-15,2020-12-09,228,344,117,23.030365853658534,29.81,15.34875,9.431280487804873,1602.7350000000001,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,second_season,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Acholi,2020,second_season,simsim,0.35926115652040563,0.20563306058666006,0.5723776613600595,83807.27339402742,47969.41115023655,17233.546127436824,14.3098587378472,17.11160589391599,18.683544188524102,650.1106713861227,5.285452612895306,93,18,2,22.452183485031128,61.82121396064758,8,0.6666527513708788,2020-08-15,2020-12-09,228,344,117,23.030365853658534,29.81,15.34875,9.431280487804873,1602.7350000000001,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,second_season,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Acholi,2020,second_season,sorghum,1.0529020128934115,0.684478114577132,0.6500871934855194,84984.94790626831,55247.62627289903,58170.33691031832,16.659338487503128,20.34983141362077,20.041784279774983,650.1106713861227,5.285452612895306,93,18,2,22.452183485031128,61.82121396064758,8,0.6666527513708788,2020-08-15,2020-12-09,228,344,117,23.030365853658534,29.81,15.34875,9.431280487804873,1602.7350000000001,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,second_season,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Acholi,2020,second_season,soya_beans,0.8621074636111007,0.5609956901236228,0.6507259405617323,6260.606063045007,4073.938768861446,3512.1730189300715,29.241787062656133,34.780000869378135,37.71877863325827,650.1106713861227,5.285452612895306,93,18,2,22.452183485031128,61.82121396064758,8,0.6666527513708788,2020-08-15,2020-12-09,228,344,117,23.030365853658534,29.81,15.34875,9.431280487804873,1602.7350000000001,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,second_season,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Acholi,2020,second_season,sweet_potatoes,14.728567574673178,7.318880459133953,0.4969173289953389,11382.383031721018,5656.103373724676,83306.30074924084,11.578422114464187,14.626769930820274,12.164077876108378,650.1106713861227,5.285452612895306,93,18,2,22.452183485031128,61.82121396064758,8,0.6666527513708788,2020-08-15,2020-12-09,228,344,117,23.030365853658534,29.81,15.34875,9.431280487804873,1602.7350000000001,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,second_season,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Ankole,2018,annual,beans,0.7,0.660831541530019,0.4000608127185457,138129.0,55260.0,91280.0,,,12.5,1243.510916313457,3.406879222776595,223,33,2,25.05243225097656,75.01569557189941,19,0.7622655808384896,2018-03-04,2018-08-04,63,216,154,21.358550684931505,31.914000000000005,11.931,10.138312328767128,4145.871,0,0,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,annual,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Ankole,2018,annual,groundnuts,0.5,0.5216451181453411,0.3264823896567098,44860.0,14646.0,23401.0,,,28.9,1243.510916313457,3.406879222776595,223,33,2,25.05243225097656,75.01569557189941,19,0.7622655808384896,2018-03-04,2018-08-04,63,216,154,21.358550684931505,31.914000000000005,11.931,10.138312328767128,4145.871,0,0,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,annual,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Ankole,2018,annual,irish_potatoes,2.6,2.514278136327469,0.4616744761736363,11311.0,5222.0,28439.0,,,26.7,1243.510916313457,3.406879222776595,223,33,2,25.05243225097656,75.01569557189941,19,0.7622655808384896,2018-03-04,2018-08-04,63,216,154,21.358550684931505,31.914000000000005,11.931,10.138312328767128,4145.871,0,0,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,annual,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
