crop,table_id,entity_type,sub_region,season_group,area_planted_ha,area_harvested_ha,production_mt,yield_mt_per_ha_production_over_harvested,yield_mt_per_ha_production_over_planted,cv_area_planted_pct,cv_area_harvested_pct,cv_production_pct
maize,Table 6-1,sub_region,Busoga,total_2020,229357.04316444838,191492.2392866248,306393.7838453818,1.6000323824443499,1.335881295023926,10.621829411430818,11.651995171789789,10.762188417763424
maize,Table 6-1,sub_region,Teso,first_season_2020,43328.557223445394,38173.183394774285,52369.138238923326,1.3718829183654722,1.2086517898312572,16.33521281097101,12.485533058134896,17.74650106778382
maize,Table 6-1,sub_region,Teso,second_season_2020,50805.87175391593,20599.10335032369,31725.841334267127,1.540156423059482,0.6244522579581919,13.912503766713566,14.26600221224707,18.56680274224161
maize,Table 6-1,sub_region,Teso,total_2020,94134.42897736133,58772.286745097976,84094.97957319045,1.4308611121074775,0.8933498666403416,13.392231446533739,11.427057424158702,16.686383697504095
maize,Table 6-1,sub_region,Bukedi,first_season_2020,46005.41547499803,44579.344761353,68965.01039394768,1.5470171390615695,1.499062875139715,9.875934481201492,9.809122856761505,11.446508316265888
maize,Table 6-1,sub_region,Bukedi,second_season_2020,38307.0939749609,19856.169874066632,51510.810059110154,2.594196684748674,1.344680703077601,10.48923636761742,12.632343295255433,12.560235646556675
maize,Table 6-1,sub_region,Bukedi,total_2020,84312.50944995893,64435.51463541963,120475.82045305784,1.8697114647833253,1.4289198748681833,9.070555188461107,9.033549190034977,10.570414759153103
maize,Table 6-1,sub_region,Elgon,first_season_2020,77029.08377880692,61935.39105335199,160513.2619783088,2.591624259545572,2.083800742577065,17.732660565732,17.573481259724826,21.831516561483628
maize,Table 6-1,sub_region,Elgon,second_season_2020,13874.652805084006,4762.830529997424,16304.835535656615,3.423349924580549,1.175152687761825,28.232076906195186,22.691492693937057,31.38085242054418
maize,Table 6-1,sub_region,Elgon,total_2020,90903.73658389092,66698.22158334941,176818.0975139654,2.6510166735556018,1.9451136351341072,16.2786131481389,16.80140034136693,20.825727510031903
maize,Table 6-1,sub_region,Karamoja,first_season_2020,28988.393844896622,18613.29150292707,22662.576952294614,1.2175480596073385,0.7817810491175018,18.944210044857705,24.146308958298484,27.302096025044857
maize,Table 6-1,sub_region,Karamoja,second_season_2020,5237.1645655681905,698.6315802523923,5060.932846228637,7.244065383360269,0.9663497839082256,93.49124060339659,63.29115911092179,95.80405164331675
maize,Table 6-1,sub_region,Karamoja,total_2020,34225.558410464815,19311.923083179463,27723.50979852325,1.4355644271735017,0.8100235930715013,22.711789575580205,24.430162425892956,32.239936609426564
maize,Table 6-1,sub_region,Ankole,first_season_2020,8773.79237101778,8025.209403876534,18387.179968769935,2.291177593433027,2.095693537210635,19.024986164773527,20.499349643686564,20.05132831229202
maize,Table 6-1,sub_region,Ankole,second_season_2020,11986.055961617616,7469.261789492012,35452.1339451982,4.746403988018382,2.9577814469350803,13.196671304950222,15.758581518624698,16.529419799404966
maize,Table 6-1,sub_region,Ankole,total_2020,20759.848332635396,15494.471193368547,53839.31391396813,3.474743554785576,2.5934348387955395,14.60853377532311,17.349762463883344,16.65697322495451
maize,Table 6-1,sub_region,Uganda,first_season_2020,1071129.2794241728,967469.0190954446,1891680.7420373778,1.9552881846346297,1.7660620229281048,5.4687496318715,5.5787628516511,6.043301999207678
maize,Table 6-1,sub_region,Uganda,second_season_2020,965188.3130117016,594598.266187296,1618798.4385242015,2.7225078352554206,1.6771840445032158,5.3045847771749965,6.639548418504226,6.741444814111584
