district,lat,lon,clay,sand,silt,soc,bdod,cec,phh2o,yield_source,rainfall_source,temperature_source,soil_source,soil_moisture_source,yield_granularity,is_proxy,is_imputed,data_quality_score,data_quality_note
Masindi,1.6608458899114968,31.719418971397126,34.03333333333333,44.983333333333334,20.983333333333334,23.75,1.25,18.366666666666667,5.95,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Bugiri,0.5925378321069249,33.79485653491775,40.28333333333333,36.36666666666667,23.35,20.916666666666664,1.3433333333333335,18.7,5.816666666666666,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Buyende,1.1716127263893188,33.21708354537384,38.266666666666666,38.61666666666666,23.116666666666667,21.21666666666667,1.33,18.516666666666666,6.0,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Iganga,0.6688530121573191,33.45184024191531,38.03333333333333,40.33333333333333,21.566666666666666,20.533333333333335,1.3183333333333334,16.733333333333334,5.8,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Jinja,0.583061945094639,33.25109632710175,36.61666666666667,39.33333333333333,24.05,21.816666666666666,1.3666666666666665,16.866666666666667,5.5,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Kaliro,1.0289683773172045,33.46058443837174,37.55,38.3,24.15,23.216666666666665,1.3116666666666665,19.466666666666665,5.933333333333334,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Kamuli,0.9036511167482101,33.13414797430668,40.16666666666667,37.983333333333334,21.85,24.283333333333335,1.335,17.683333333333334,5.7,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Luuka,0.7132207418035909,33.381326036289444,35.33333333333333,41.916666666666664,22.783333333333335,22.383333333333333,1.325,17.4,5.8,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Mayuge,0.4692019848415745,33.4624109875,38.05,41.08333333333333,20.85,20.2,1.35,15.216666666666665,5.5,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Namayingo,0.3365914367739261,33.866579171332326,35.46666666666667,42.36666666666667,22.216666666666665,24.633333333333333,1.2933333333333334,19.466666666666665,6.0,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
