crop,sub_region,area_planted_ha,production_mt,yield_over_planted,area_harvested_ha,cv_production_pct,yield_over_harvested,year,harvest_loss_ratio,yield_source,rainfall_source,temperature_source,soil_source,soil_moisture_source,yield_granularity,is_proxy,is_imputed,data_quality_score,data_quality_note
cassava,Bukedi,38544.0,167014.0,4.3,17740.0,17.9,9.4,2018,0.5397467828974678,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
cassava,Bunyoro,123455.0,602450.0,4.9,51957.0,15.4,11.6,2018,0.5791421975618647,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
cassava,Busoga,95252.0,377869.0,4.0,60944.0,15.5,6.2,2018,0.360181413513627,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
cassava,Elgon,14198.0,51995.0,3.7,8374.0,22.3,6.2,2018,0.4101986195238766,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
cassava,Karamoja,11192.0,48665.0,4.3,11192.0,100.0,4.3,2018,0.0,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
cassava,Kigezi,6236.0,32180.0,5.2,3421.0,34.7,9.4,2018,0.4514111610006415,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
cassava,Lango,111884.0,755385.0,6.8,99497.0,9.5,7.6,2018,0.11071288119838407,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
cassava,North Buganda,74630.0,613686.0,8.2,41074.0,17.0,14.9,2018,0.44963151547634994,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
cassava,South Buganda,28912.0,166882.0,5.8,19044.0,15.1,8.8,2018,0.34131156613171,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
cassava,Teso,128262.0,441900.0,3.4,63498.0,16.0,7.0,2018,0.5049352107405155,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
cassava,Tooro,37019.0,99292.0,2.7,9185.0,19.0,10.8,2018,0.7518841675896162,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
cassava,West Nile,198319.0,567981.0,2.9,67675.0,14.3,8.4,2018,0.6587568513354747,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_arabica,Acholi,0.0,0.0,,0.0,,,2018,,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_arabica,Ankole,2964.0,3751.0,1.3,2367.0,55.9,1.6,2018,0.20141700404858298,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_arabica,Bukedi,0.0,0.0,,0.0,,,2018,,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_arabica,Bunyoro,10136.0,6068.0,0.6,7700.0,38.4,0.8,2018,0.24033149171270718,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_arabica,Busoga,3334.0,1489.0,0.4,2955.0,43.1,0.5,2018,0.1136772645470906,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_arabica,Elgon,30466.0,29279.0,1.0,26166.0,0.0,1.1,2018,0.14114094400315103,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_arabica,Karamoja,0.0,0.0,,0.0,,,2018,,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_arabica,Kigezi,2164.0,2818.0,1.3,2057.0,42.3,1.4,2018,0.049445471349353065,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_arabica,Lango,0.0,0.0,,0.0,,,2018,,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_arabica,North Buganda,1456.0,428.0,0.3,523.0,59.4,0.8,2018,0.6407967032967032,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_arabica,South Buganda,359.0,774.0,2.2,359.0,54.8,2.2,2018,0.0,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_arabica,Teso,0.0,0.0,,0.0,,,2018,,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_arabica,Tooro,35602.0,29704.0,0.8,27753.0,26.8,1.1,2018,0.22046514240772985,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_arabica,West Nile,1804.0,671.0,0.4,1676.0,53.2,0.4,2018,0.07095343680709532,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_robusta,Acholi,259.0,0.0,0.0,0.0,0.0,,2018,1.0,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_robusta,Ankole,41708.0,30085.0,0.7,19619.0,18.2,1.5,2018,0.5296106262587513,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_robusta,Bukedi,47.0,31.0,0.7,47.0,100.0,0.7,2018,0.0,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_robusta,Bunyoro,11727.0,76588.0,6.5,7902.0,25.3,9.7,2018,0.3261703760552571,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_robusta,Busoga,25536.0,13823.0,0.5,21689.0,19.7,0.6,2018,0.1506500626566416,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_robusta,Elgon,39.0,15.0,0.4,0.0,0.0,,2018,1.0,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_robusta,Karamoja,0.0,0.0,,0.0,0.0,,2018,,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_robusta,Kigezi,17274.0,8560.0,0.5,15340.0,31.1,0.6,2018,0.11196017135579484,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_robusta,Lango,53.0,0.0,0.0,0.0,0.0,,2018,1.0,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_robusta,North Buganda,139757.0,64828.0,0.5,109521.0,15.4,0.6,2018,0.2163469450546306,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_robusta,South Buganda,92914.0,34400.0,0.4,74976.0,15.0,0.5,2018,0.1930602492627591,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_robusta,Teso,0.0,0.0,,0.0,0.0,,2018,,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_robusta,Tooro,10572.0,4198.0,0.4,7713.0,28.8,0.5,2018,0.2704313280363224,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
coffee_robusta,West Nile,10.0,0.0,0.0,0.0,0.0,,2018,1.0,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
groundnuts,Acholi,30393.0,14739.0,0.5,8804.0,27.6,0.6,2018,0.7103280360609351,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
groundnuts,Ankole,44860.0,23401.0,0.5,14646.0,28.9,0.5,2018,0.6735176103432903,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
groundnuts,Bukedi,39058.0,15568.0,0.4,8889.0,24.8,0.4,2018,0.7724153822520354,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
groundnuts,Bunyoro,55500.0,34878.0,0.6,24207.0,11.9,0.8,2018,0.5638378378378379,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
