spatial_unit,date,rain_mm
South Buganda,2015-12-13,1.1289421717325847
South Buganda,2015-12-14,1.6946626901626587
South Buganda,2015-12-15,0.7200706005096436
South Buganda,2015-12-16,1.0478678146998088
South Buganda,2015-12-17,7.674779931704204
South Buganda,2015-12-18,2.5428104797999063
South Buganda,2015-12-19,6.644862095514934
South Buganda,2015-12-20,7.366133610407512
South Buganda,2015-12-21,7.133779605229695
South Buganda,2015-12-22,1.3319824536641438
South Buganda,2015-12-23,1.3319824536641438
South Buganda,2015-12-24,0.0
South Buganda,2015-12-25,0.0
South Buganda,2015-12-26,0.0
South Buganda,2015-12-27,0.6712711056073507
South Buganda,2015-12-28,1.5686447421709697
South Buganda,2015-12-29,0.0
South Buganda,2015-12-30,0.0
South Buganda,2015-12-31,0.0
South Buganda,2016-01-01,0.0
South Buganda,2016-01-02,0.35381507873535156
South Buganda,2016-01-03,0.0
South Buganda,2016-01-04,2.8005222380161285
South Buganda,2016-01-05,0.24408545096715292
South Buganda,2016-01-06,1.1935598452885945
South Buganda,2016-01-07,0.0
South Buganda,2016-01-08,0.0
South Buganda,2016-01-09,2.641778071721395
South Buganda,2016-01-10,6.939830005168915
South Buganda,2016-01-11,8.325868169466654
South Buganda,2016-01-12,1.2461650967597961
South Buganda,2016-01-13,0.7242839435736338
South Buganda,2016-01-14,5.661170502503713
South Buganda,2016-01-15,2.153564085563024
South Buganda,2016-01-16,0.0
South Buganda,2016-01-17,7.7316709359486895
South Buganda,2016-01-18,1.9882980088392894
South Buganda,2016-01-19,5.520178218682607
South Buganda,2016-01-20,4.406456291675568
South Buganda,2016-01-21,8.89305591583252
South Buganda,2016-01-22,0.9780906438827515
South Buganda,2016-01-23,1.8336755832036336
South Buganda,2016-01-24,3.7195573647816977
South Buganda,2016-01-25,0.0
South Buganda,2016-01-26,0.0
South Buganda,2016-01-27,0.13230673472086588
South Buganda,2016-01-28,0.0
South Buganda,2016-01-29,0.0
South Buganda,2016-01-30,0.0
South Buganda,2016-01-31,0.0
South Buganda,2016-02-01,0.4450215697288513
South Buganda,2016-02-02,0.5221877495447794
South Buganda,2016-02-03,4.654102961222331
South Buganda,2016-02-04,0.0
South Buganda,2016-02-05,0.0
South Buganda,2016-02-06,0.0
South Buganda,2016-02-07,0.33600231011708576
South Buganda,2016-02-08,0.0
South Buganda,2016-02-09,0.0
South Buganda,2016-02-10,0.0
South Buganda,2016-02-11,0.0
South Buganda,2016-02-12,0.0
South Buganda,2016-02-13,0.0
South Buganda,2016-02-14,1.8203099370002747
South Buganda,2016-02-15,0.7185304959615072
South Buganda,2016-02-16,0.0
South Buganda,2016-02-17,0.0
South Buganda,2016-02-18,0.0
South Buganda,2016-02-19,1.0988066891829174
South Buganda,2016-02-20,4.072817862033844
South Buganda,2016-02-21,7.724194645881653
South Buganda,2016-02-22,0.0
South Buganda,2016-02-23,2.6464967131614685
South Buganda,2016-02-24,3.565211037794749
South Buganda,2016-02-25,0.0
South Buganda,2016-02-26,0.560472289721171
South Buganda,2016-02-27,5.010322054227193
South Buganda,2016-02-28,0.21741122007369995
South Buganda,2016-02-29,0.692451000213623
South Buganda,2016-03-01,0.961069385210673
South Buganda,2016-03-02,1.4422211050987244
South Buganda,2016-03-03,8.294958651065826
South Buganda,2016-03-04,0.45978474617004395
South Buganda,2016-03-05,0.0
South Buganda,2016-03-06,0.0
South Buganda,2016-03-07,4.4936949412028
South Buganda,2016-03-08,24.74672555923462
South Buganda,2016-03-09,24.12389914194743
South Buganda,2016-03-10,0.0
South Buganda,2016-03-11,0.0
South Buganda,2016-03-12,9.497820695241293
South Buganda,2016-03-13,0.0
South Buganda,2016-03-14,0.0
South Buganda,2016-03-15,0.0
South Buganda,2016-03-16,0.0
South Buganda,2016-03-17,6.648777345816295
South Buganda,2016-03-18,6.683097680409749
South Buganda,2016-03-19,0.3187648256619771
South Buganda,2016-03-20,0.9541982014973959
South Buganda,2016-03-21,3.7013622919718423
South Buganda,2016-03-22,2.9009087483088174
South Buganda,2016-03-23,8.992822190125784
South Buganda,2016-03-24,7.345853626728058
South Buganda,2016-03-25,0.0
South Buganda,2016-03-26,0.0
South Buganda,2016-03-27,0.20467672745386759
South Buganda,2016-03-28,0.0
South Buganda,2016-03-29,0.0
South Buganda,2016-03-30,12.594947814941406
South Buganda,2016-03-31,3.792044679323832
South Buganda,2016-04-01,23.43759775161743
South Buganda,2016-04-02,0.6297183831532797
South Buganda,2016-04-03,11.791195670763651
South Buganda,2016-04-04,19.136524438858032
South Buganda,2016-04-05,0.5472646554311117
South Buganda,2016-04-06,0.0
South Buganda,2016-04-07,18.422082821528118
South Buganda,2016-04-08,12.653318961461386
South Buganda,2016-04-09,3.6125963926315308
South Buganda,2016-04-10,8.977948824564615
South Buganda,2016-04-11,1.5210967461268108
South Buganda,2016-04-12,10.081919312477112
South Buganda,2016-04-13,9.295545935630798
South Buganda,2016-04-14,15.68239943186442
South Buganda,2016-04-15,5.354355216026306
South Buganda,2016-04-16,15.73206893603007
South Buganda,2016-04-17,11.633091847101847
South Buganda,2016-04-18,13.621737241744995
South Buganda,2016-04-19,3.4360589583714805
South Buganda,2016-04-20,1.8583738803863525
South Buganda,2016-04-21,8.202216784159342
South Buganda,2016-04-22,11.606497406959534
South Buganda,2016-04-23,0.7612976233164469
South Buganda,2016-04-24,1.4245683749516804
South Buganda,2016-04-25,2.2705472707748413
South Buganda,2016-04-26,9.460911393165588
South Buganda,2016-04-27,2.2455091079076133
South Buganda,2016-04-28,11.468877911567688
South Buganda,2016-04-29,2.1999189853668213
South Buganda,2016-04-30,13.85260502497355
South Buganda,2016-05-01,3.793382008870443
South Buganda,2016-05-02,0.8223628997802733
South Buganda,2016-05-03,12.739997665087381
South Buganda,2016-05-04,0.7337625026702881
South Buganda,2016-05-05,12.79377031326294
South Buganda,2016-05-06,13.648632844289144
South Buganda,2016-05-07,12.636631965637207
South Buganda,2016-05-08,4.889876008033752
South Buganda,2016-05-09,4.885935028394063
South Buganda,2016-05-10,20.516721963882446
South Buganda,2016-05-11,9.231457869211832
South Buganda,2016-05-12,13.516045888264975
South Buganda,2016-05-13,6.634197076161702
South Buganda,2016-05-14,0.7971812089284259
South Buganda,2016-05-15,7.003655989964803
South Buganda,2016-05-16,0.0
South Buganda,2016-05-17,0.7190593878428141
South Buganda,2016-05-18,0.0
South Buganda,2016-05-19,0.0
South Buganda,2016-05-20,2.1571782430013022
South Buganda,2016-05-21,0.0
South Buganda,2016-05-22,0.0
South Buganda,2016-05-23,2.142012278238932
South Buganda,2016-05-24,0.0
South Buganda,2016-05-25,0.0
South Buganda,2016-05-26,1.4486379623413086
South Buganda,2016-05-27,0.0
South Buganda,2016-05-28,0.0
South Buganda,2016-05-29,0.0
South Buganda,2016-05-30,0.0
South Buganda,2016-05-31,4.483145395914714
South Buganda,2016-06-01,0.7624844710032145
South Buganda,2016-06-02,0.7624844710032145
South Buganda,2016-06-03,0.0
South Buganda,2016-06-04,1.0231079657872517
South Buganda,2016-06-05,2.146867513656616
South Buganda,2016-06-06,1.3522818287213643
