district,clim_annual_mean,clim_annual_std,clim_MAM_mean,clim_MAM_std,clim_SON_mean,clim_SON_std,clim_DJF_mean,clim_DJF_std,clim_JJA_mean,clim_JJA_std
Budaka,1339.116039276123,123.19730992367307,460.61700439453125,66.5088727366862,367.1141815185547,67.1066676223297,153.1021385192871,58.03034159167376,358.28271484375,53.69657004972162
Busia,1587.623405456543,140.59185435034075,588.1754608154297,72.38879055338619,510.7697448730469,82.88765347276977,225.9746856689453,76.77974479452064,262.7035140991211,41.95760006186876
Butaleja,1053.5840454101562,93.26001325062664,393.47467041015625,53.07077664382095,264.7449188232422,49.34359680636415,126.66598510742188,44.40610943564266,268.69847106933594,38.395698156556854
Kibuku,1363.5597457885742,131.75101055352053,483.12442779541016,69.20671073330692,399.16468811035156,77.18628586572024,147.1791000366211,58.180293985915405,334.0915298461914,56.798685172440685
Pallisa,1351.0048141479492,135.77860201090624,500.1856002807617,80.91585629534234,366.79695892333984,70.9311343549478,148.38671875,54.564720186366124,335.63553619384766,62.28899143613974
Tororo,1537.9419555664062,146.99620665706547,567.8439331054688,77.24734576270095,441.40039825439453,82.75436386195344,223.8993682861328,80.68086996520223,304.79825592041016,47.7812183566511
Buliisa,1050.0716133117676,79.56390098628451,352.14686584472656,45.56392801351906,353.3833694458008,46.68775058584543,87.7889518737793,29.666532208484377,256.75242614746094,34.56144696176632
Hoima,1177.681785583496,87.04676097827247,405.3052444458008,46.902482615113236,385.6904830932617,51.24758811234471,105.88884735107422,34.15783914348449,280.7972106933594,39.802292133278
Kagadi,1188.315330505371,92.80758028459776,394.7976303100586,49.86076586277064,417.6768341064453,56.084306644812614,136.08562850952148,38.339017720017914,239.7552375793457,38.88214570075584
Kakumiro,1253.7960815429688,99.5395434539154,413.84339141845703,52.86125829911983,448.3299102783203,62.626254571875585,142.48159408569336,37.53923474516265,249.14118576049805,42.22044735781293
Kibaale,1311.1786804199219,102.55824095648434,427.20262908935547,54.30925883306923,452.7410430908203,59.62235332300947,166.73566818237305,43.33939620739295,264.49934005737305,46.21221606562304
Kiryandongo,1323.5024547576904,103.46988292798122,430.5770034790039,58.933332328737855,434.4478454589844,59.67486991741111,111.40028953552246,38.84150543316977,347.0773162841797,46.50942237639365
Masindi,1301.1255836486816,95.24171630472405,434.7767639160156,56.17635517859146,428.88500213623047,52.12202012778108,123.74042129516602,36.93918820564282,313.72339630126953,42.82514490373108
Bugiri,1413.8966102600098,113.1276709827207,517.8179779052734,56.65782076974469,421.6125030517578,64.20770479567493,202.00700759887695,60.88090155447831,272.45912170410156,41.936234432571275
Buyende,1249.006435394287,112.08680049725504,481.5903015136719,67.92545742418194,359.8374481201172,59.133769313310275,145.22909927368164,46.40679476037905,262.3495864868164,47.94986763584816
Iganga,1347.9309997558594,103.3011747327468,487.47731018066406,60.36080248310758,400.7386169433594,52.3877879621235,181.17901611328125,49.897451648198725,278.5360565185547,42.349382713470796
Jinja,1324.5409469604492,104.20680105854713,474.020751953125,59.19144575322316,403.5633316040039,56.548677542360046,189.003662109375,51.540787169269095,257.9532012939453,38.74563798263169
Kaliro,1334.0914573669434,113.60119673798341,507.1872024536133,67.29741978765048,369.48937225341797,60.16029446276834,154.78777694702148,47.66184910342116,302.6271057128906,49.85354852387619
Kamuli,1324.1209106445312,103.67255938853238,513.5060424804688,62.99527539459239,393.9006576538086,57.83957635145574,145.46676635742188,41.70148943763825,271.24744415283203,41.17236979206933
Luuka,1345.5965576171875,104.39423932090241,479.5160827636719,61.08200560997256,408.64015197753906,55.755078627863504,175.88805389404297,47.92661918638301,281.5522689819336,41.970896757364045
Mayuge,1278.8711280822754,102.14132026858658,464.2310485839844,60.16414720430999,387.1208801269531,52.85820264048288,191.42106246948242,51.87115577880623,236.09813690185547,36.44884510072385
Namayingo,1388.7423973083496,124.0783704580417,541.2570495605469,70.18043900431553,423.07667541503906,65.71523688126054,200.00833892822266,68.82229818523835,224.40033340454102,37.618438442159416
Namutumba,1375.9727172851562,114.03171972272764,501.86580657958984,61.58462747772551,388.7345962524414,61.56201565073231,182.46631622314453,55.35776316512845,302.90599822998047,48.54073596192199
