spatial_unit,date,tmax_c,tmin_c
Acholi,2015-06-19,27.4575,19.61375
Acholi,2015-06-20,25.27125,19.265
Acholi,2015-06-21,25.735,18.64875
Acholi,2015-06-22,25.17375,18.795
Acholi,2015-06-23,26.17375,17.9425
Acholi,2015-06-24,27.585,18.548750000000002
Acholi,2015-06-25,27.915,17.9425
Acholi,2015-06-26,25.72375,19.085
Acholi,2015-06-27,28.84625,19.142500000000002
Acholi,2015-06-28,28.0825,19.009999999999998
Acholi,2015-06-29,29.085,19.10875
Acholi,2015-06-30,29.38875,19.68375
Acholi,2015-07-01,27.278750000000002,19.701249999999998
Acholi,2015-07-02,28.958750000000002,18.9025
Acholi,2015-07-03,29.677500000000002,17.95875
Acholi,2015-07-04,30.29625,17.486250000000002
Acholi,2015-07-05,30.51125,16.93375
Acholi,2015-07-06,30.925,16.7025
Acholi,2015-07-07,30.34875,17.88625
Acholi,2015-07-08,30.59375,18.905
Acholi,2015-07-09,30.64375,19.35625
Acholi,2015-07-10,30.94625,19.1025
Acholi,2015-07-11,32.3275,18.908749999999998
Acholi,2015-07-12,29.0175,19.5275
Acholi,2015-07-13,30.36,18.96125
Acholi,2015-07-14,30.091250000000002,20.2875
Acholi,2015-07-15,30.865,20.01625
Acholi,2015-07-16,29.79875,20.13125
Acholi,2015-07-17,30.62125,19.60125
Acholi,2015-07-18,30.862499999999997,20.40875
Acholi,2015-07-19,25.495,19.90375
Acholi,2015-07-20,28.45375,18.88625
Acholi,2015-07-21,27.90625,18.6475
Acholi,2015-07-22,26.365,18.91
Acholi,2015-07-23,23.20625,18.189999999999998
Acholi,2015-07-24,27.15875,17.3625
Acholi,2015-07-25,28.82125,17.47625
Acholi,2015-07-26,28.4975,18.24125
Acholi,2015-07-27,25.77,19.16125
Acholi,2015-07-28,28.99125,18.585
Acholi,2015-07-29,27.34,19.2425
Acholi,2015-07-30,26.11,18.94375
Acholi,2015-07-31,25.98875,18.64875
Acholi,2015-08-01,27.79375,18.16125
Acholi,2015-08-02,28.56,17.825
Acholi,2015-08-03,29.04375,18.90875
Acholi,2015-08-04,27.9325,19.3175
Acholi,2015-08-05,25.77125,19.54875
Acholi,2015-08-06,28.95375,18.052500000000002
Acholi,2015-08-07,29.22625,18.42125
Acholi,2015-08-08,28.7825,18.655
Acholi,2015-08-09,29.185,18.595
Acholi,2015-08-10,30.4025,18.60625
Acholi,2015-08-11,31.18375,18.87875
Acholi,2015-08-12,32.035,18.6375
Acholi,2015-08-13,32.545,18.04375
Acholi,2015-08-14,32.1625,20.48375
Acholi,2015-08-15,32.085,19.96625
Acholi,2015-08-16,31.9,21.15125
Acholi,2015-08-17,28.07125,19.80125
Acholi,2015-08-18,26.76,18.975
Acholi,2015-08-19,28.735,17.87
Acholi,2015-08-20,28.88875,19.05375
Acholi,2015-08-21,30.01,19.69375
Acholi,2015-08-22,30.6725,18.95375
Acholi,2015-08-23,28.3675,19.92875
Acholi,2015-08-24,28.9625,19.107499999999998
Acholi,2015-08-25,29.65,18.072499999999998
Acholi,2015-08-26,29.6625,19.75875
Acholi,2015-08-27,32.025,19.025
Acholi,2015-08-28,32.41375,18.30125
Acholi,2015-08-29,32.36875,20.21125
Acholi,2015-08-30,31.48625,20.61125
Acholi,2015-08-31,31.338749999999997,20.69375
Acholi,2015-09-01,29.22625,19.677500000000002
Acholi,2015-09-02,30.9525,18.32625
Acholi,2015-09-03,31.439999999999998,19.9175
Acholi,2015-09-04,30.11875,19.41625
Acholi,2015-09-05,28.322499999999998,19.58125
Acholi,2015-09-06,31.335,18.435000000000002
Acholi,2015-09-07,31.63125,19.90625
Acholi,2015-09-08,30.21125,20.134999999999998
Acholi,2015-09-09,31.191249999999997,20.2825
Acholi,2015-09-10,33.54625,19.5775
Acholi,2015-09-11,34.83375,19.3775
Acholi,2015-09-12,34.4775,20.435
Acholi,2015-09-13,34.275,21.4975
Acholi,2015-09-14,32.416250000000005,21.4925
Acholi,2015-09-15,33.15625,20.1825
Acholi,2015-09-16,33.835,19.37
Acholi,2015-09-17,34.915,19.58375
Acholi,2015-09-18,34.7725,22.0025
Acholi,2015-09-19,35.011250000000004,22.1175
Acholi,2015-09-20,35.68,21.835
Acholi,2015-09-21,32.49375,21.8375
Acholi,2015-09-22,29.0375,19.975
Acholi,2015-09-23,30.8075,18.8575
Acholi,2015-09-24,33.215,19.30875
Acholi,2015-09-25,30.26375,20.48
Acholi,2015-09-26,27.94125,20.01
Acholi,2015-09-27,30.39,18.8325
Acholi,2015-09-28,32.67,19.0425
Acholi,2015-09-29,33.735,20.84375
Acholi,2015-09-30,32.47125,20.69
Acholi,2015-10-01,26.085,20.41375
Acholi,2015-10-02,28.755,19.25625
Acholi,2015-10-03,32.595,18.345
Acholi,2015-10-04,32.61375,19.10875
Acholi,2015-10-05,32.17625,19.89875
Acholi,2015-10-06,34.18875,19.2675
Acholi,2015-10-07,32.95125,20.41
Acholi,2015-10-08,33.345,21.0425
Acholi,2015-10-09,33.99,21.24375
Acholi,2015-10-10,33.9525,21.20375
Acholi,2015-10-11,30.64,21.0425
Acholi,2015-10-12,31.612499999999997,20.395
Acholi,2015-10-13,31.65875,20.1325
Acholi,2015-10-14,31.62125,20.28625
Acholi,2015-10-15,30.44875,20.857499999999998
Acholi,2015-10-16,31.52375,20.0125
Acholi,2015-10-17,27.2375,20.79625
Acholi,2015-10-18,28.16125,19.9725
Acholi,2015-10-19,29.90875,19.70125
Acholi,2015-10-20,30.53625,19.23
Acholi,2015-10-21,29.345,20.16
Acholi,2015-10-22,30.6625,19.548750000000002
Acholi,2015-10-23,30.7825,19.99375
Acholi,2015-10-24,27.56375,19.645
Acholi,2015-10-25,29.9075,19.11875
Acholi,2015-10-26,27.91625,19.9925
Acholi,2015-10-27,28.82,19.7025
Acholi,2015-10-28,28.87375,19.13625
Acholi,2015-10-29,26.79,20.107499999999998
Acholi,2015-10-30,26.15,19.455
Acholi,2015-10-31,27.271250000000002,19.02625
Acholi,2015-11-01,25.8375,19.25375
Acholi,2015-11-02,27.35,18.8425
Acholi,2015-11-03,26.6375,20.27125
Acholi,2015-11-04,25.80625,18.91125
Acholi,2015-11-05,26.7975,19.36625
Acholi,2015-11-06,27.9325,19.40125
Acholi,2015-11-07,26.75125,19.27625
Acholi,2015-11-08,27.072499999999998,18.05375
Acholi,2015-11-09,27.6025,19.01125
Acholi,2015-11-10,28.07875,18.73625
Acholi,2015-11-11,24.18625,19.607499999999998
Acholi,2015-11-12,27.445,18.4675
Acholi,2015-11-13,28.9975,19.2175
Acholi,2015-11-14,27.7025,18.82125
Acholi,2015-11-15,28.56875,19.45375
Acholi,2015-11-16,28.21,18.6325
Acholi,2015-11-17,27.34125,18.56
Acholi,2015-11-18,27.2,19.59875
Acholi,2015-11-19,28.865000000000002,18.06875
Acholi,2015-11-20,29.86625,18.8075
Acholi,2015-11-21,27.86375,18.69625
Acholi,2015-11-22,28.1875,18.88125
Acholi,2015-11-23,29.80875,17.635
Acholi,2015-11-24,29.9125,17.33125
Acholi,2015-11-25,29.88125,17.7725
Acholi,2015-11-26,29.6575,17.97625
Acholi,2015-11-27,27.2975,19.04
Acholi,2015-11-28,27.065,19.091250000000002
Acholi,2015-11-29,27.345,18.16125
Acholi,2015-11-30,29.43,17.8925
Acholi,2015-12-01,25.5325,19.6125
Acholi,2015-12-02,27.947499999999998,18.595
Acholi,2015-12-03,26.5475,18.5625
Acholi,2015-12-04,27.85625,17.83
Acholi,2015-12-05,29.2925,18.24375
Acholi,2015-12-06,29.23875,18.73875
Acholi,2015-12-07,29.5775,18.50875
Acholi,2015-12-08,28.853749999999998,19.5625
Acholi,2015-12-09,28.7025,19.6
Acholi,2015-12-10,28.275,18.955
Acholi,2015-12-11,28.91375,17.52625
Acholi,2015-12-12,28.73,17.435000000000002
Acholi,2015-12-13,28.005,17.25125
Acholi,2015-12-14,28.02375,15.4125
Acholi,2015-12-15,27.97625,14.90875
Acholi,2015-12-16,28.61,15.67
Acholi,2015-12-17,26.89875,17.57375
Acholi,2015-12-18,29.455,18.14375
Acholi,2015-12-19,29.07375,18.21375
Acholi,2015-12-20,29.5325,17.88375
Acholi,2015-12-21,30.375,17.795
Acholi,2015-12-22,31.8375,18.1075
Acholi,2015-12-23,31.91,17.56625
Acholi,2015-12-24,31.72625,17.555
Acholi,2015-12-25,28.416249999999998,18.7
Acholi,2015-12-26,30.43375,18.400000000000002
Acholi,2015-12-27,31.31125,19.5375
Acholi,2015-12-28,31.63875,19.815
Acholi,2015-12-29,32.800000000000004,17.81
Acholi,2015-12-30,32.76375,17.56875
Acholi,2015-12-31,32.963750000000005,18.12375
Acholi,2016-01-01,32.93625,20.51875
Acholi,2016-01-02,33.35125,18.6925
Acholi,2016-01-03,32.99375,18.64
Acholi,2016-01-04,33.95375,19.31125
Acholi,2016-01-05,32.22125,20.20125
Acholi,2016-01-06,34.54625,20.02875
Acholi,2016-01-07,34.87,20.2425
Acholi,2016-01-08,34.635,21.4375
Acholi,2016-01-09,33.021249999999995,21.87625
Acholi,2016-01-10,31.12375,22.13625
Acholi,2016-01-11,31.189999999999998,21.25125
Acholi,2016-01-12,32.91125,20.541249999999998
Acholi,2016-01-13,32.24375,21.65375
Acholi,2016-01-14,32.4475,20.65875
Acholi,2016-01-15,31.645,21.43125
Acholi,2016-01-16,30.068749999999998,21.53375
Acholi,2016-01-17,31.9375,21.4375
Acholi,2016-01-18,31.8675,21.29625
Acholi,2016-01-19,33.39375,19.58125
Acholi,2016-01-20,32.5975,18.83875
Acholi,2016-01-21,30.945,19.99625
Acholi,2016-01-22,31.95,21.20625
Acholi,2016-01-23,34.05,21.77625
Acholi,2016-01-24,32.6425,20.4475
Acholi,2016-01-25,32.152499999999996,20.4
Acholi,2016-01-26,31.103749999999998,17.81875
Acholi,2016-01-27,31.89,16.36625
