district,sub_region,lat,lon
Luwero,North Buganda,0.813711465627938,32.53422184459911
Mityana,North Buganda,0.44313509727649947,32.06371925372011
Mubende,North Buganda,0.5301646302498506,31.338399877838615
Mukono,North Buganda,0.43207138163643116,32.79011040424461
Nakaseke,North Buganda,1.0437404219885733,32.15389318179236
Nakasongola,North Buganda,1.3630633044136593,32.31010822302173
Bukomansimbi,South Buganda,-0.12566780325399027,31.589067188783485
Butambala,South Buganda,0.16934265801869158,32.104155231916316
Gomba,South Buganda,0.21189340276950638,31.815078573226113
Kalangala,South Buganda,-0.3043543889880096,32.163667555693046
Kalungu,South Buganda,-0.13767095748490565,31.806917952915093
Lwengo,South Buganda,-0.40072170063885576,31.482415182914778
Lyantonde,South Buganda,-0.22586578035515428,31.159330230337847
Masaka,South Buganda,-0.41403945663760683,31.771510916359542
Mpigi,South Buganda,0.15508288866782677,32.20643812182328
Rakai,South Buganda,-0.738687288481409,31.304580486513373
Ssembabule,South Buganda,-0.07825991182762237,31.37061456485245
Wakiso,South Buganda,0.32452632530662934,32.51105440726909
Amuria,Teso,2.104745827458959,33.5971858707727
Bukedea,Teso,1.33673969214377,34.20822165137673
Kaberamaido,Teso,1.7715105224757035,33.1574345042046
Katakwi,Teso,2.1006235215220403,33.90105446901385
Kumi,Teso,1.4420515599317698,33.93114888259595
Ngora,Teso,1.475446179937896,33.75041700135742
Serere,Teso,1.4833509613506786,33.45058142145701
Soroti,Teso,1.8443527292763873,33.578105330727965
Bundibugyo,Tooro,0.6913731300069565,30.049763836755943
Kabarole,Tooro,0.5840987798868537,30.334254531618132
Kamwenge,Tooro,0.34475032747355905,30.530502420484353
Kasese,Tooro,0.18666406884261577,30.047453915474968
Kyegegwa,Tooro,0.4875341651700774,30.99939795052489
Kyenjojo,Tooro,0.6104591172015063,30.634728580955628
Adjumani,West Nile,3.1071081067413435,31.73335152542036
Arua,West Nile,3.052014223515101,31.074909972484136
Koboko,West Nile,3.510676781970545,30.978701242689617
Maracha,West Nile,3.2566236007273885,30.961310266786835
Moyo,West Nile,3.6243897011806876,31.68632753240945
Nebbi,West Nile,2.4503989467547957,31.156356789392394
Yumbe,West Nile,3.3757578957767094,31.256700290815438
Zombo,West Nile,2.563940024983629,30.920210701320602
