aggregation_level,model,feature_space,target_scale,crop,season,nominal_coverage,actual_coverage,mean_interval_width,observations,calibration_size_min,calibration_group_count_min,calibration_group_count_max
crop,ridge,raw,crop_centered,beans,,0.9,1.0,6.168595446224352,27,52,3,3
crop,ridge,raw,crop_centered,groundnuts,,0.9,1.0,6.247710905044727,28,52,3,3
crop,ridge,raw,crop_centered,irish_potatoes,,0.9,0.875,6.2288137045179575,16,52,3,3
crop,ridge,raw,crop_centered,maize,,0.9,0.9642857142857143,6.247710905044727,28,52,3,3
crop,ridge,raw,crop_centered,millet,,0.9,0.9629629629629629,6.235021471118419,27,52,3,3
crop,ridge,raw,crop_centered,rice,,0.9,0.9583333333333334,6.2690693385155685,24,52,3,3
crop,ridge,raw,crop_centered,simsim,,0.9,1.0,6.130976621967029,20,52,3,3
crop,ridge,raw,crop_centered,sorghum,,0.9,1.0,6.247710905044727,28,52,3,3
crop,ridge,raw,crop_centered,soya_beans,,0.9,0.72,6.210499467503036,25,52,3,3
crop,ridge,raw,crop_centered,sweet_potatoes,,0.9,0.6538461538461539,6.083394182879335,26,52,3,3
crop,ridge,raw,raw,beans,,0.9,0.9259259259259259,8.04845655793184,27,52,3,3
crop,ridge,raw,raw,groundnuts,,0.9,0.9642857142857143,8.16614545221247,28,52,3,3
crop,ridge,raw,raw,irish_potatoes,,0.9,0.9375,8.01277925574505,16,52,3,3
crop,ridge,raw,raw,maize,,0.9,0.9285714285714286,8.166145452212472,28,52,3,3
crop,ridge,raw,raw,millet,,0.9,1.0,8.263488725191907,27,52,3,3
crop,ridge,raw,raw,rice,,0.9,0.9583333333333334,8.030451284280225,24,52,3,3
crop,ridge,raw,raw,simsim,,0.9,0.95,7.753649801080549,20,52,3,3
crop,ridge,raw,raw,sorghum,,0.9,0.9642857142857143,8.16614545221247,28,52,3,3
crop,ridge,raw,raw,soya_beans,,0.9,0.84,8.025355896382202,25,52,3,3
crop,ridge,raw,raw,sweet_potatoes,,0.9,0.6923076923076923,7.921714671783467,26,52,3,3
season,dummy_mean,hybrid,crop_centered,,first_season,0.9,0.9457364341085271,6.409510066325227,129,52,3,3
season,dummy_mean,hybrid,crop_centered,,second_season,0.9,0.925,6.414459145083553,120,52,3,3
season,dummy_mean,hybrid,raw,,first_season,0.9,0.9922480620155039,8.697123279422863,129,52,3,3
season,dummy_mean,hybrid,raw,,second_season,0.9,0.8916666666666667,8.821150445245223,120,52,3,3
season,dummy_mean,pca,crop_centered,,first_season,0.9,0.9457364341085271,6.409510066325227,129,52,3,3
season,dummy_mean,pca,crop_centered,,second_season,0.9,0.925,6.414459145083553,120,52,3,3
season,dummy_mean,pca,raw,,first_season,0.9,0.9922480620155039,8.697123279422863,129,52,3,3
season,dummy_mean,pca,raw,,second_season,0.9,0.8916666666666667,8.821150445245223,120,52,3,3
season,dummy_mean,raw,crop_centered,,first_season,0.9,0.9457364341085271,6.409510066325227,129,52,3,3
season,dummy_mean,raw,crop_centered,,second_season,0.9,0.925,6.414459145083553,120,52,3,3
season,dummy_mean,raw,raw,,first_season,0.9,0.9922480620155039,8.697123279422863,129,52,3,3
season,dummy_mean,raw,raw,,second_season,0.9,0.8916666666666667,8.821150445245223,120,52,3,3
season,ols,hybrid,crop_centered,,first_season,0.9,0.9689922480620154,9.471629036791763,129,52,3,3
season,ols,hybrid,crop_centered,,second_season,0.9,0.8833333333333333,9.191029396868931,120,52,3,3
season,ols,hybrid,raw,,first_season,0.9,0.9689922480620154,9.47162903679176,129,52,3,3
season,ols,hybrid,raw,,second_season,0.9,0.8833333333333333,9.19102939686893,120,52,3,3
season,ols,pca,crop_centered,,first_season,0.9,0.9457364341085271,5.6149301313882525,129,52,3,3
season,ols,pca,crop_centered,,second_season,0.9,0.8333333333333334,5.586280241460195,120,52,3,3
season,ols,pca,raw,,first_season,0.9,0.9457364341085271,5.614930131388247,129,52,3,3
season,ols,pca,raw,,second_season,0.9,0.8333333333333334,5.58628024146019,120,52,3,3
season,ols,raw,crop_centered,,first_season,0.9,0.8527131782945736,15.174167273875936,129,52,3,3
season,ols,raw,crop_centered,,second_season,0.9,0.7833333333333333,15.162292292984166,120,52,3,3
season,ols,raw,raw,,first_season,0.9,0.8527131782945736,15.174167273875936,129,52,3,3
season,ols,raw,raw,,second_season,0.9,0.7833333333333333,15.162292292984159,120,52,3,3
season,ridge,hybrid,crop_centered,,first_season,0.9,0.937984496124031,6.399117439586687,129,52,3,3
season,ridge,hybrid,crop_centered,,second_season,0.9,0.9,6.290571333477874,120,52,3,3
season,ridge,hybrid,raw,,first_season,0.9,0.9534883720930233,7.317205977243027,129,52,3,3
season,ridge,hybrid,raw,,second_season,0.9,0.85,7.207060761925715,120,52,3,3
season,ridge,pca,crop_centered,,first_season,0.9,0.937984496124031,6.433340898353042,129,52,3,3
season,ridge,pca,crop_centered,,second_season,0.9,0.9083333333333333,6.391445479782506,120,52,3,3
season,ridge,pca,raw,,first_season,0.9,0.937984496124031,5.405475196437878,129,52,3,3
season,ridge,pca,raw,,second_season,0.9,0.7916666666666666,5.376526217831181,120,52,3,3
season,ridge,raw,crop_centered,,first_season,0.9,0.937984496124031,6.248674997345899,129,52,3,3
season,ridge,raw,crop_centered,,second_season,0.9,0.8916666666666667,6.16496041177359,120,52,3,3
season,ridge,raw,raw,,first_season,0.9,0.9689922480620154,8.126697334245993,129,52,3,3
season,ridge,raw,raw,,second_season,0.9,0.8583333333333333,8.005346319371984,120,52,3,3
